二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
杨行密承制加朱瑾东面诸道行营副都统、同平章事，以升州刺史李神福为淮南行军司马、鄂岳行营招讨使，舒州团练使刘存副之，将兵击杜洪	淮南节度使杨行密秉制命加授朱瑾为东面诸道行营副都统、同平章事，任命升州刺史李神福为淮南行军司马、鄂岳行营招讨使，以舒州团练使刘存充任他的副手，率领军队攻击杜洪
洪将骆殷戍永兴，弃城走，县民方诏据城降	杜洪部将骆殷驻守永兴，抛弃城池逃走，县民方诏占据永兴城投降
神福曰：永兴大县，馈运所仰，已得鄂之半矣	李神福说：永兴是大县，是输送军需粮饷的依靠，等于已经得到鄂州的一半了
二月，壬申朔，诏：比在凤翔府所除官，一切停	二月壬申朔，昭宗颁布诏令：近来在凤翔府任命的官员，全部解除职务
甲戌，门下侍郎、同平章事陆责授沂王傅、分司	甲戌，门下侍郎、同平章事陆受责降补沂王傅分司
车驾还京师，赐诸道诏书，独凤翔无之	昭宗回到京师后，给各道颁赐诏书，唯独凤翔节度使李茂贞没有
曰：茂贞罪虽大，然朝廷未与之绝；今独无诏书，示人不广	陆说：李茂贞的罪恶虽然重大，但朝廷并没有与他决绝；现在唯独不给他颁赐诏书，给人看着不宽大为怀
崔胤怒，奏贬之	崔胤勃然大怒，奏请将陆贬斥了
宫人宋柔等十一人皆韩全诲所献，及僧、道士与宦官亲厚者二十余人，并送京兆杖杀	宫人宋柔等十一人都是韩全诲献进宫的，以及和尚、道士与宦官亲近交深的二十余人，一并送交京兆尹乱杖打死
上谓韩曰：崔胤虽尽忠，然比卿颇用机数	昭宗对韩说：崔胤虽然竭尽忠诚，但比你多用心机权术
对曰：凡为天下者，万国皆属之耳目，安可以机数欺之	韩回答说：凡治理天下的人，万国都耳目专注，哪里能够用心机权术欺骗蒙蔽他们呢
莫若推诚直致，虽日计之不足而岁计之有余也	不如推心置腹直接了当，这样，虽然按日计算不充足，但按年计算就有剩余了
戊寅，赐朱全忠号回天再造竭忠守正功臣，赐其僚佐敬翔等号迎銮协赞功臣，诸将朱友宁等号迎銮果毅功臣，都头以下号四镇静难功臣	戊寅，朝廷赐朱全忠号回天再造竭忠守正功臣，赐他的属官敬翔等人号迎銮协赞功臣、诸将朱友宁等人号迎銮果毅功臣、都头以下号四镇静难功臣
壬辰，以朱友裕为镇国节度使	壬辰，朝廷任命朱友裕为镇国节度使
乙未，全忠奏留步骑万人于故两军，以朱友伦为左军宿卫都指挥使；又以汴将张廷范为宫苑使，王殷为皇城使，蒋玄晖充街使	乙未，朱全忠奏请留步、骑兵一万人在原神策左右两军营署，以朱友伦担任左军宿卫都指挥使，又任命汴州将领张廷范为宫苑使，王殷为皇城使，蒋玄晖充会街使
于是全忠之党布列遍于禁卫及京辅	于是，朱全忠的党羽布列遍及宫禁宿防及京辅各处
以清海节度使裴枢为门下侍郎、同平章事	朝廷任命清海节度使裴枢为门下侍郎、同平章事，是朱全忠举荐的
李克用使者还晋阳，言崔胤之横，克用曰：胤为人臣，外倚贼势，内胁其君，既执朝政，又握兵权	李克用的使者自京师回到晋阳，讲述崔胤专横霸道的情形，李克用说：崔胤身为人臣，在外倚靠强贼的势力，在内胁迫自己的君主，既主持朝政，又掌握兵权
权重则怨多，势侔则衅生，破家亡国，在眼中矣	权力过重就结怨多，势均力敌就要生出事端，破家亡国，近在眼前了
朱全忠将行，秦：克用于臣，本无大嫌，乞厚加宠译，遣大臣抚慰，俾知臣意	朱全忠将要起身回大梁，奏称：李克用对我来没有大的仇怨，恳求皇上对他厚加恩宠，派遣大臣前去安慰，使他知道我的心意
进奏吏以白克用，克用笔曰：贼欲有事淄青，畏吾掎其后耳	河东进奏吏将朱全忠的话禀报李克用，李克用大笔道：这强贼想要进攻淄青，怕我在后面牵制他罢了
三月，戊午，朱全忠至大梁	三月戊午，朱全忠回到大梁
王师范弟师鲁转齐州，朱友宁引兵击走之	王师范的弟弟王师鲁围攻齐州，朱友宁率兵将他打跑
师范遣兵益刘军，友宁击取之	王师范派兵增加刘的兵力，朱友宁率兵攻击打败援兵
由是兖州援绝，葛从周引兵围之	因此，兖州援兵断绝，葛从周率兵包围了兖州
友宁进攻青州；戊辰，全忠引四镇及魏博兵十万继之	朱友宁进攻青州；戊辰，朱全忠统率四镇及魏博的军队十万人，继续开往青州
淮南将李神福围鄂州，望城中积荻，谓监军尹建峰曰：今夕为公焚之	淮南将领李神福围攻鄂州，望见城中堆积着荻草，对监军尹建峰说：今天晚上为您把它焚烧了
建峰未之信	尹建峰还不相信
时杜洪求救于朱全忠，神福遣部将秦皋乘轻舟至滠口，举火炬于树杪；洪以为救兵至，果焚荻以应之	当时，杜洪向朱全忠求救，李神福派遣部将秦皋乘轻舟到滠口，在树林上举起火炬，杜洪以为救兵到了，果然焚烧荻草来接应
夏，四月，己卯，以朱全忠判元帅府事	夏季，四月己卯，朝廷任命朱全忠总管元帅府事务
知温州事丁章为木工李彦所杀，其将张惠据温州	知温州事丁章被木工李彦杀死，他的将领张惠占据温州
杨行密遣使诣马殷，言朱全忠跋扈，请殷绝之，约为兄弟	杨行密派遣使者去见马殷，说朱全忠专横跋扈，请马殷与他断绝交往，约定结为兄弟
湖南大将许德勋曰：全忠虽无道，然挟天子以令诸侯，明公素奉王室，不可轻绝也	湖南大将许德勋说：朱全忠虽然无道，但是他挟天子以令诸侯，您向来尊奉王室，不可轻易与他绝交
殷从之	马殷听从了
成行未至鄂州，马殷遣大将许德勋将舟师万余人，雷彦威遣其将欧阳思将舟师三千余人会于荆江口，乘虚袭江陵，庚戌，陷之，尽掠其人及货财而去	荆南节度使成率军东下，还没有到鄂州，武安节度使马殷派遣部将许德勋率领水军一万余人，武贞节度使雷彦威派遣部将欧阳思率领水军三千余人在荆江口会合，乘虚突袭江陵，庚戌将江陵攻克，尽掠人口及货财而去
将士亡其家，皆无斗志	成的将士家亡财空，都没有了斗志
朱全忠表颍州刺史朱友恭为武宁节度使	朱全忠上表秦请任命颖州刺史朱友恭为武宁节度使
丁卯，以山南西道留后王宗贺为节度使	丁卯，朝廷任命山南西道留后王宗贺为节度使
八月，戊辰朔，朱全忠留齐州刺史杨师厚攻青州，身归大梁	八月戊辰朔，朱全忠留下齐州刺史杨师厚攻打青州，自己回大梁
庚辰，加西川节度使西平王王建守司徒，进爵蜀王	庚辰，，朝廷给西川节度使西平王王建加官署司徒，进爵蜀王
初，宁国节度使田破冯弘铎，诣广陵谢杨行密，因求池、歙为巡属，行密不许	当初，宁国节度使田打败冯弘铎，前往广陵告谢淮南节度使杨行密，因有功要求把池州、歙州作为自己的巡视属地，杨行密没有答应
行密左右下及狱吏，皆求赂于，怒曰：吏知吾将下狱邪	杨行密左右的人以及狱吏，都向田索要财物，田勃然大怒说：你狱吏知道我将要下狱吗
及还，指广陵南门曰：吾不可复入此矣	等到回去的时侯，田指着广陵的南门说：我不能再入此城了
兵强财富，好攻取；行密既定淮南，欲保境息民，每抑止之，不从	田兵强财富，喜好攻战夺取；杨行密己经平定淮南，想要保境安民，往往加以压抑制止，田不从
及解释钱，尤恨之，阴有叛志	等到杨行密与钱亲善友好，田就更加恨他，暗中己有背叛杨行密的志向
李神福言于行密曰：必反，宜早图之	李神福向杨行密进言说：田一定要谋反，应当尽早设法应付
行密曰：有大功，反状未露，今杀之，诸将人人自危矣	杨行密说：田有大功劳，谋反的行迹没有暴露，现在杀他，各位将官就要人人自危了
有良将曰康儒，与谋议多不合，行密知之，擢儒为庐州刺史	田有个良将叫康儒，与田商议事情经常意见不合，杨行密知道这情况以后，擢升康儒为庐州刺史
以儒为贰于己，族之	田以为康儒对自己有二心，将他全族杀死
儒曰：吾死，田公亡无日矣	康儒说：我死了，田公灭亡就没有几天了
遂与润州团练使安仁义同举兵，仁义悉焚东塘战舰	田于是与润州团练使安仁义一同起兵，安仁义全部焚烧了杨行密停在扬州东塘的战舰
辛亥，汴将刘重霸拔棣州，执刺史邵播，杀之	辛亥，汴州将领刘重霸攻克棣州，逮住刺史邵播，将他杀死
甲寅，朱全忠如洛阳，遇疾，复还大梁	甲寅，朱全忠到洛阳，患了病，又回大梁
戊午，王师范遣副使李嗣业及弟师悦请降于杨师厚，曰：师范非敢背德，韩全诲、李茂贞以朱书御札使之举兵，师范不敢违	戊午，平卢节度使王师范派遣副使李嗣业及弟弟王师悦向杨师厚请求投降，说：师范不是胆敢背弃大德，韩全诲、李茂贞用皇上朱笔写的信札命令我发兵，师范不敢违反
仍请以其弟师鲁为质	并请求用他的弟弟王师鲁作为人质
时朱全忠闻李茂贞、杨崇本将起兵逼京畿，恐其复劫天子西去，欲迎车驾都洛阳，乃受师范降，选诸将使守登、莱、淄、棣等州，即以师范权淄青留后	当时朱全忠听说李茂贞、杨崇本将要起兵进逼京畿，恐怕他们再次劫持昭宗西去凤翔，想要迎接昭宗建都洛阳，于是接受了王师范投降，选择诸将守卫登、莱、淄、棣等州，当即以王师范暂时为淄表留后
师范仍言先遣行军司马刘将兵五千据兖州，非其自专，愿释其罪；亦遣使语	王师范并说明先前遣行军司马刘率兵五千占据兖州，不是他擅自做主，希望宽免他的罪过；也派遣使者告诉刘
葛从周急攻兖州，刘使从周母乘板舆登城，谓从周曰：刘将军事我不异于汝，新妇辈皆安居，人各为其主，汝可察之	葛从周急攻兖州，刘让葛从周的母亲乘坐板车登上城楼，对葛从周说：刘将军侍奉我不比你差，你的妻子等也都安居，人各为其主，你可以详细察看
从周欷而退，攻城为之缓	葛从周抽噎叹息而退，攻城因此延缓
悉简妇人及民之老疾不足当敌者出之，独与少壮者同辛苦，分衣食，坚守以捍敌；号令整肃，兵不为暴，民皆安堵	刘挑选妇人及年老有病不能御敌的人，让他们全都出去，只与年轻力壮者同辛苦，分衣食，坚守城池来抵御敌人；号令整齐严肃，军队不做残暴的事，百姓全都安定
久之，外援既绝，节度副使王彦温逾城出降，城上卒多从之，不可遏	过了一段时间，外援已经继绝，节度副使王彦温越过城墙出去投降，城上的兵卒多跟随他去，不能制止
遣人从容语彦温曰：军士非素遣者，勿多与之俱	刘派人不慌不忙地告诉王彦温说：不是你向来差遣的军士，不要多让他们与你一同去
又遗人徇于城上曰：军士非素遣从副使而敢擅往者，族之	又派人在城上巡示说：不是向来派遣跟随节度副使而擅自前往的军士，把他的全族杀死
士卒皆惶惑不敢出	士兵听后，全都恐惧疑惑，不敢出城
敌人果疑彦温，斩之城下，由是众心益固	敌人果然怀疑王彦温，把他在城下斩首，因此，众心更加稳定
及王师范力屈，从周以祸福谕之，曰：受王公命守此城，一旦见王公失势，不俟其命而降，非所以事上也	等到王师范屡次被汴州军队打败，葛从周用祸福得失晓示他，刘说：我受王公的命令守卫此城，一旦看见王公失去权势，不等他的命令就投降，不是用来侍奉尊上的态度
及师范使者至，丁丑，始出降	等到王师范劝降的使者到来之后，刘才于丁丑出城投降
宿卫都指挥使朱友伦与客击球于左军，坠马而卒	辛巳，宿卫都指挥使朱友伦在左军与客人击，掉下马来摔死
全忠悲怒，疑崔胤故为之，凡与同戏者十余人尽杀之，遣其兄子友谅代典宿卫	朱全忠悲痛愤怒，怀疑是崔胤故意搞的，凡与朱友伦一同玩耍的十余人全部杀死，派遣他哥哥的儿子朱友谅代管皇宫中的直宿警卫
山南东道节度使赵匡凝遣兵袭荆南，朗人弃城走，匡凝表其弟匡明为荆南留后	山南东道节度使赵匡凝派遣军队袭击荆南，朗州人弃城逃走；赵匡凝上表请以他的弟弟赵匡明担任荆南留后
时天子微弱，诸道贡赋多不上供，惟匡明兄弟委输不绝	当时昭宗势微力弱，各道的贡品赋税多不缴纳，只有赵匡明兄弟派人运送京师，从不间断
杨行密求兵于钱，遣方永珍屯润州，从弟镒屯宣州；又遣指挥使杨习攻睦州	淮南节度使杨行密向镇海节度使钱请求派兵援助，钱派遣方永珍率兵驻扎润州，堂弟钱镒率兵驻扎宣州，又派遣指挥使杨习率兵攻打睦州
凤翔、州屡出兵近京畿，朱全忠疑其复有劫迁之谋，十一月，发骑兵屯河中	凤翔节度使李茂贞、州静难节度使李继徽屡次出兵逼近京畿，朱全忠怀疑他们又有劫持昭宗迁往凤翔的图谋，于十一月派遣骑兵驻扎河中
辛巳，以礼部尚书独孤损为兵部侍郎、同平章事	辛巳，朝廷任命礼部尚书独孤损为兵部侍郎、同平章事
损，及之从曾孙也	独孤损是独孤及的从曾孙
中书侍郎兼户部尚书、同平章事裴贽罢为左仆射	中书侍郎兼户部尚书、同平章事裴枢被免职降为左仆射
左仆射致仕张浚居长水，王师范之举兵，浚豫其谋	告老退休的左仆射张浚住在长水，平卢节度使王师范当初发兵进攻朱全忠，张浚曾参与谋划
朱全忠将谋篡夺，恐浚扇动藩镇，讽张全义使图之	朱全忠将篡夺帝位，恐怕张浚煽动藩镇反对，就示意佑国节度使张全义设法除掉他
丙申，全义遣牙将杨麟将兵诈为劫盗，围其墅而杀之	丙申，张全义派遣牙将杨麟率兵假装劫盗，包围张浚的别墅，把他杀死
永宁县吏叶彦素为浚所厚，知麟将至，密告浚子格曰：相公祸不可免，郎君宜自为谋	永宁县吏叶彦一直受到张浚的厚待，知道杨麟将要到来，秘密告诉张浚的儿子张格说：相公祸不可免，你应当自己谋求生路
浚谓格曰：汝留则俱死，去则遗种	张浚对张格说：你留下来就要一同死，逃走还可以传种接代
格哭拜而去，叶彦帅义士三十人送之渡汉而还，格遂自荆南入蜀	张格哭着拜辞而去，叶彦率领义士三十人护送他渡过汉水而返回，张格于是自荆南入蜀
初，崔胤假朱全忠兵力以诛宦官，全忠既破李茂贞，并吞关中，威震天下，遂有篡夺之志	当初，崔胤借助朱全忠的兵力来诛杀宦官，朱全忠已经打败李茂贞，并吞了关中，声威震动天下，于是有篡夺帝位的志向
胤惧，与全忠外虽亲厚，私心渐异，乃谓全忠曰：长官密迩茂贞，不可不为守御之备	崔胤大惧，与朱全忠表面上虽然亲厚，内心里渐渐背离，于是对朱全忠说：长安靠近李茂贞，不可不做守御的准备
六军十二卫，但有空名，请召募以实之，使公无西顾之忧	六军十二卫，只有空名，请召募补足，使您没有西顾的忧虑
全忠知其意，曲从之，阴使麾下壮士应募以察其变	朱全忠知道他的意图，勉强依从他，暗地里让部下壮士应募来观察他的变化
胤不之知，与郑元规等缮治兵仗，日夜不息	崔胤不知道其中的情由，与郑元规等整治兵器，日夜不停
及朱友伦死，全忠益疑胤，且欲迁天子都洛，恐胤立异	等到宿卫都指挥使朱友伦摔死，朱全忠更加怀疑崔胤，并且想劫持昭宗迁都洛阳，恐怕崔胤另立异论阻止
	天元年
初，上在华州，朱全忠屡表请上迁都洛阳，上虽不许，全忠常令东都留守佑国军节度使张全义缮修官室	当初，昭宗在华州，朱全忠屡次上表请昭宗迁都洛阳，昭宗虽然没有允许，朱全忠却常令东都留守佑国军节度使张全义缮修宫室
甲申，立皇子祯为端王，祈为丰王，福为和王，禧为登王，为嘉王	甲申，昭宗立皇子李祯为端王，李祈为丰王，李福为和王，李禧为登王，李为嘉王
三月，丁未，以朱全忠兼判左、右神策及六军诸卫事	三月丁未，昭宗任命朱全忠兼判左右神策军及六军诸卫事
癸丑，全忠置酒私第，邀上临幸	癸丑，朱全忠在私宅摆设酒筵，邀请昭宗前去赴宴
乙卯，全忠辞上，先赴洛阳督修宫室	乙卯，朱全忠辞别昭宗，先往洛阳去监督修建宫室
上与之宴群臣，既罢，上独留全忠及忠武节度使韩建饮，皇后出，自捧玉以饮全忠，晋国夫人可证附上耳语	昭宗与他一同宴请群臣，宴会散后，昭宗只留下朱全忠及忠武节度使韩建继续饮酒，何皇后走出，亲自捧着玉杯请朱全忠喝，晋国夫人可证贴着昭宗耳朵说话
建蹑全忠足，全忠以为图己，不饮，阳醉而出	韩建踩朱全忠的脚，朱全忠以为暗算自己，便不喝，假装喝醉而离去
全忠奏以长安为佑国军，以韩建为佑国节度使，以郑州刺史刘知俊为匡国节度使	朱全忠奏请将长安改为佑国军，任命韩建为佑国节度使，任命郑州刺命名刘知俊为匡国节度使
杨行密遣钱传及其妇并顾全武归钱唐	淮南节度使杨行密遣送钱传及他的妻子并顾全武回钱塘
夏，四月，辛巳，朱全忠奏洛阳官室已成，请车驾早发，表章相继	夏季，四月辛巳，朱全忠奏报洛阳宫室已经建成，请昭宗车驾早日出发，表章接连不断，一再催促
上屡遣宫人谕以皇后新产，未任进路，请俟十月东行	昭宗屡次派遣宫人告诉他皇后刚生婴儿，不能登路，请等到十月东去洛阳
全忠疑上徘徊俟变，怒甚，谓牙将寇彦卿曰：汝速至陕，即日促官家发来	朱全忠怀疑昭宗故意徘徊不前等待事变，勃然大怒，对牙将寇彦卿说：你速到陕州，即日催促天子出发前来
闰月，丁酉，车驾发陕；壬寅，全忠逆于新安	闰四月丁酉，朱全忠迎于新安
上之在陕也，司天监奏：星气有变，期在今秋，不利东行	昭宗在陕州的时候，司天监曾经奏称：星气有变化，时间在今年秋天，东行不利
故上欲以十月幸洛	所以昭宗想要在十月前往洛阳
至是，全忠令医官许昭远告医官使阎之、司天监王墀、内都知韦周、晋国夫人可证等谋害元帅，悉收杀之	到这个时候，朱全忠命医官许昭远告发医官使阎之、司天监王墀、内都知韦周、晋国夫人可证等谋害元帅朱全忠，于是把他们全都拘捕杀死
镇海、镇东节度使越王钱求封吴越王；朝廷不许	镇海、镇东节度使越王钱求封吴越王；朝廷没有应允
朱全忠为之言于执政，乃更封吴王	朱全忠在主管官员面前为钱说情，于是改封钱为吴王
更命魏博曰天雄军	朝廷将魏博改名为天雄军
癸亥，进天雄节度使长沙郡王罗绍威爵邺王	癸亥，天雄节度使长沙郡王罗绍威进爵为邺王
五月，丙寅，加河阳节度使张汉瑜同平章事	五月丙寅，朝廷加授河阳节度使张汉瑜为同平章事
忠义节度使赵匡凝遣水军上峡攻王建夔州，知渝州王宗阮等击败之	忠义节度使赵匡凝派遣水军溯流上三峡，攻打王建所辖之夔州，主持渝州事务的王宗阮等将他们打败
万州刺史张武作铁绝江中流，立栅于两端，谓之锁峡	万州刺史张武作粗铁绳断绝长江水流中央的航道，在两端设立栅栏，称为锁峡
西川诸将劝王建乘李茂贞之衰，攻取凤翔	西川诸将劝节度使王建乘李茂贞衰弱的机会，攻取凤翔
建以问节度判官冯涓，涓曰：兵者凶器，残民耗财，不可穷也	王建为此询问节度判官冯涓，冯涓说：战争是凶器，残害百姓，耗损钱财，因此，不应穷兵黩武
今梁、晋虎争，势不两立，若并而为一，举兵向蜀，虽诸葛亮复生，不能敌矣	现在大梁朱全忠、晋阳李克用两虎相争，势不两立，如果朱全忠、李克用的两支军队合而为一，发兵攻蜀，虽然诸葛亮再生，也是不能抵挡的
凤翔，蜀之藩蔽，不若与之和亲，结为婚姻，无事则务农训兵，保固疆场，有事则觇其机事，观衅而动，可以万全	凤翔是蜀的屏障，不如与李茂贞和睦亲善，结为婚姻，无事就致力农业生产，操练军队，保卫巩固边界，有事就察看时机，看准破绽而行动，可以万无一失
建曰：善	王建说：好
茂贞虽庸才，然有强悍之名，远近畏之，与全忠力争则不足，自守则有余，使为吾藩蔽，所利多矣	李茂贞虽然是个庸才，然而有勇猛无所顾忌的名声，远近都怕他，与朱全忠拼力抗争虽不足，但保卫自己却有余，使他作为我的屏障，得利很多啊
乃与茂贞修好	于是，与李茂贞建立亲善关系
丙子，茂贞遣判官赵多如西川，为其侄天雄节度使继勋求婚；建以女妻之	丙子，李茂贞派遣判官赵前往西川，替他的侄子天雄节度使李继勋求婚；王建把女儿嫁给李继勋为妻
茂贞数求货及甲兵于建，建皆与之	李茂贞屡次向王建求索财物及铠甲兵器，王建都给了他
初，朱全忠自凤翔迎车驾还，见德王裕眉目疏秀，且年齿已壮，恶之，私谓崔胤曰：德王尝奸帝位，岂可复留	当初，朱全忠自凤翔迎接昭宗车驾返回长安，见德王李裕眉目清秀，并且已经成年，很厌恶他，私下对崔胤说：德王曾经窃据帝位，哪里能够再留下
公何不言之	您为什么不向陛下说
胤言于帝	崔胤把朱全忠的话向昭宗说了
帝问全忠，全忠曰：陛下父子之间，臣安敢窃议，此崔胤卖臣耳	昭宗问朱全忠，朱全忠说：陛下父子之间的事情，我怎么敢私下议论，这是崔胤出卖我罢了
帝自离长安，日忧不测，与皇后终日沈饮，或相对涕泣	昭宗自从离开长安，每天忧虑发生意外事变，整天与何皇后沉湎酒中，或者相对哭泣
全忠使枢密使蒋玄晖伺察帝，动静皆知之	朱全忠让枢密使蒋玄晖侦察昭宗的言行，昭宗的动静他都知道
帝从容谓玄晖曰：德王朕之爱子，全忠何故坚欲杀之	昭宗从容对蒋玄晖说：德王是朕的爱子，朱全忠为什么一定要杀他
因泣下，啮中指血流	因此落泪，咬中指流血不止
玄晖具以语全忠，全忠愈不自安	蒋玄晖将此情形详细告诉朱全忠，朱全忠更加不安
李克用复以张承业为监军	李克用再以张承业为监军
九月，己巳，尊皇后为皇太后	九月己巳，昭宣帝尊何皇后为皇太后
朱全忠引兵北屯永寿，南至骆谷，凤翔、宁兵竟不出	朱全忠率领的军队北边驻扎永寿，南边到达骆谷，凤翔、宁的军队竟不出战
辛未，东还	辛未，朱全忠率兵东还
冬，十月，辛卯朔，日有食之	冬季，十月，辛卯朔，出现日食
朱全忠闻朱友恭等弑昭宗，阳惊，号哭自投于地，曰奴辈负我，令我受恶名于万代	朱全忠听到朱友恭等杀死昭宗的消息，假装震惊，放声大哭，自己扑倒在地上，说：奴才们害死我了，让我千秋万代蒙受恶名
癸巳，至东都，伏梓宫恸哭流涕，又见帝自陈非己志，请讨贼	癸巳，朱全忠到达东都洛阳，伏在昭宗的灵柩上恸哭流涕；又进见昭宣帝，自陈杀死昭宗不是自己的心意，请求讨伐乱臣贼子
先是，护驾军士有掠米于市者，甲午，全忠奏朱友恭、氏叔琮不士卒，侵扰市肆，友恭贬崖州司户，复姓名李彦威，叔琮贬白州司户，寻皆赐自尽	在这之先，护卫皇帝的军士有在市上抢米的，甲午，朱全忠奏参朱友恭、氏叔琮不能约束士卒，侵扰街市店铺，将朱友恭贬为崖州司马，恢复原姓名李彦威，氏叔琮贬为白州司马，不久都赐令自尽
彦威临刑大呼曰：卖我以塞天下之谤，如鬼神何	李彦威自杀前大声呼喊说：出卖我来堵塞天下的指责，但拿鬼神怎么办
行事如此，望有后乎	如此行事，还指望有后代吗
镇国节度使朱友裕薨于梨园	镇国节度使朱友裕在梨园行营去世
初，清海节度使徐彦若遗表荐副使刘隐权留后，朝廷以兵部尚书崔远为清海节度使	当初，清海节度使徐彦若临终上表荐举副使刘隐代理留后，朝廷任命兵部尚书崔远为清海节度使
远至江陵，闻岭南多盗，且畏隐不受代，不敢前，朝廷召远还	崔远到达江陵，听说岭南盗贼很多，并且畏惧刘隐不接受替代，不敢前进，朝廷召崔远回京师
隐遣使以重赂结朱全忠，乃奏以隐为清海节度使	刘隐派遣使者用重贿交结朱全忠，朱全忠于是奏请以刘隐为清海节度使
	昭宣光烈孝皇帝天二年
春，正月，朱全忠遣诸将进兵逼寿州	春季，正月，朱全忠派遣诸将率兵进逼寿州
庚午，朱全忠命李振知青州事，代王师范	庚午，朱全忠任命李振主持青州事务，替代王师范
全忠围寿州，州人闭壁不出	朱全忠包围寿州，州人关闭营垒不出战
全忠乃自霍丘引归，二月辛卯，至大梁	朱全忠于是从霍丘带兵回去，二月辛卯到大梁
戊戌，以安南节度使、同平章事朱全昱为太师，致仕	戊戌，朝廷以安南节度使、同平章事全昱为太师，退休
全昱，全忠之兄也，戆朴无能，先领安南，全忠自请罢之	朱全昱是朱全忠的哥哥，戆厚朴实，没有能力，先兼任安南，朱全忠自己请求罢免他
是日社，全忠使蒋玄晖邀昭宗诸子德王裕、棣王、虔王禊、沂王、遂王、景王秘、祁王琪、雅王、琼王祥，置酒九曲池，酒酣，悉缢杀之，投尸池中	这一天是社日，朱全忠让蒋玄晖邀请唐昭宗诸子德王李裕、棣王李、虔王李禊、沂王李、遂王李、景王李秘、祁王李琪、雅王李、琼王李祥，在九曲池摆酒，喝得酣醉，把他们全都勒死，抛尸九曲池中
已酉，葬圣穆景文孝皇帝于和陵，庙号昭宗	已酉，将圣穆景文孝皇帝葬于和陵，庙号昭宗
三月，庚午，以王师范为河阳节度使	三月庚午，朝廷任命王师范为河阳节度使
戊寅，以门下侍郎、同平章事独孤损同平章事，充静海节度使；以礼部侍郎河间张文蔚同平章事	戊寅，朝廷任命门下侍郎、同平章事独孤损同平章事，充静海节度使；任命礼部侍郎河间张文蔚同平章事
甲申，以门下侍郎、同平章事裴枢为左仆射，崔远为右仆射，并罢政事	甲申，任命门下侍郎、同平章事裴枢为左仆射，崔远为右仆射，一并停止参与政事
加清海节度使刘隐同平章事	清海节度使刘隐加封同平章事
壬辰，河东都押牙盖寓卒，遗书劝李克用省营缮，薄赋敛，求贤俊	壬辰，，河东都押牙盖寓死，遗书劝李克用减少营建工程，减轻赋税，征求贤才
夏，四月，庚子，有彗星出西北	夏季，四月庚子，有彗星从西北方出现
淮南将陶雅会衢、睦兵攻婺州，钱使其弟镖将兵救之	淮南将领陶雅会同衢州、睦州的军队攻打婺州，钱派遣他的弟弟钱镖率兵前去救援
五月，礼院奏，皇帝登位应祀南效；敕用十月甲午行之	五月，礼院上奏，皇帝登位应该祭祀南郊；敕令在十月甲午举行
乙丑，彗星长竟天	乙丑，彗星尾长贯穿天空
甲申，忠义节度使赵匡凝遣使修好于王建	甲申，忠义节度使赵匡凝派遣使者与王建和好
六月，戊子朔，敕裴枢、独孤损、崔远、陆、王溥、赵崇、王赞等并所在赐自尽	六月戊子朔，敕令裴枢、独孤损、崔远、陆、王溥、赵崇、王赞等同时在当地赐令自杀
庚午夜，天雄牙将李公与牙军谋乱，罗绍威觉之；公焚府舍，剽掠，奔沧州	庚午夜里，天雄牙将李公与牙军谋划作乱，天雄节度使罗绍威察觉了他们的活动；李公焚烧节度使府舍，抢劫虏掠，逃奔沧州
八月，王建遣前山南西道节度使王宗贺等将兵击昭信节度使冯行袭于金州	八月，王建派遣前山南西道节度使王宗贺等率兵在金州攻击昭信节度使冯行袭
朱全忠以赵匡凝东与杨行密交通，西与王建结婚，乙未，遣武宁节度使杨帅厚将兵击之；已亥，全忠以大军继之	朱全忠因为山南东道节度使赵匡凝东面与杨行密彼此相通，西面与王建结为婚姻，乙未，朱全忠亲自统帅大军随后前进
处州刺史卢约使其弟佶攻陷温州，张惠奔福州	处州刺史卢约派遣他的弟弟卢佶攻下温州，张惠逃奔福州
钱遣方永珍救婺州	钱派遣方永珍救援婺州
杨师厚攻下唐、邓、复、郢、随、均、房七州，朱全忠军汉北	杨师厚攻下唐、邓、复、郢、随、均、房七州，朱全忠驻扎在汉江北岸
九月，辛酉，命师厚作浮梁于阴谷口，癸亥，引兵渡汉	九月辛亥，率兵渡过汉水
甲子，赵匡凝将兵二万陈于汉滨，师厚与战，大破之，遂傅其城下	甲子，赵匡凝率领二万军队在汉水边上列阵，杨师厚与他作战，把他打得大败，于是逼近襄阳城下
是夕，匡凝焚府城，帅其族及麾下士沿汉奔广陵	当天晚上，赵匡凝焚烧府城襄阳，率领他的族人及部下将士沿汉水逃奔广陵
乙丑，师厚入襄阳；丙寅，全忠继至	乙丑，朱全忠跟着到达
丙寅，封皇弟为颍王，为蔡王	丙寅，敕封皇弟李为颍王，李为蔡王
丁卯，荆南节度使赵匡明帅众二万，弃城奔成都	丁卯，荆南节度使赵匡明率领二万军队放弃江陵城投奔成都
戊辰，朱全忠以杨师厚为山南东道留后，引兵击江陵；至乐乡，荆南牙将王建武遣使迎降	戊辰，朱全忠以杨师厚为山南东道留后，率兵进攻江陵；到达乐乡，荆南牙将王建武派遣使者迎接投降
全忠以都将贺为荆南留后	朱全忠任命都将贺为荆南留后
