戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
蜀州每岁遣兵五百人戍姚州，路险远，死亡者多	蜀州每年派遣五百名士兵戍守姚州，路途艰险遥远，死亡的人很多
蜀州刺史张柬之上言，以为：姚州本哀牢之国，荒外绝域，山高水深	蜀州刺史张柬之进言认为：姚州本是哀牢夷的土地，是极为荒远的地区，山高水深
国家开以为州，未尝得其盐布之税，甲兵之用，而空竭府库，驱率平人，受役蛮夷，肝脑涂地，臣窃为国家惜之	国家在这里设置州，未曾得到当地盐和布的税收，也没有征用过那里的士兵，而只是耗尽府库的钱财，驱使一般百姓，在蛮、夷族地区受役使，惨遭死难，我私下为国家感到痛惜
请废姚州以隶州，岁时朝觐，同之蕃国	请废除姚州，将它的地方隶属于州，每年朝见君主，如同藩属地区一样对待
泸南诸镇亦皆废省，于泸北置关，百姓非奉使，无得交通往来	泸水以南各镇也都废除，在泸水以北设置关卡，百姓不是奉命出使，不得与泸南地区的人相互往来
疏奏，不纳	奏疏上达后，没有被采纳
	二年
正月，丁卯朔，告朔于通天宫	正月，丁卯朔，太后在通天宫行告朔之礼
壬戌，以皇嗣为相王，领太子右卫率	壬戌，朝廷封皇嗣为相王，领太子右卫率
甲子，置控鹤监丞、主簿等官，率皆嬖宠之人，颇用才能文学之士以参之	甲子，朝廷设置控鹤监丞、主簿等官，他们大多是受太后宠爱的人，同时也用一些有才能的人和文学之士以相配合
以司卫卿张易之为控鹤监，银青光禄大夫张昌宗、左台中丞吉顼、殿中监田归道、夏官侍郎李迥秀、凤阁舍人薛稷、正谏大夫临汾员半千皆为控鹤监内供奉	任用司卫卿张易之为控鹤监，银青光禄大夫张昌宗、左台中丞吉顼、殿中监田归道、夏官侍郎李迥秀、凤阁舍人薛稷、正谏大夫临汾人员半千都任控鹤监内供奉
稷，元超之从子也	薛稷是薛元超的侄子
半千以古无此官，且所聚多轻薄之士，上疏请罢之；由是忤旨，左迁水部郎中	员半千认为古代没有这样的官职，而且现在所聚集的又多是一些轻浮放荡的人士，因此上疏请求废除，于是冒犯太后旨意，被降职为水部郎中
腊月，戊子，以左台中丞吉顼为天官侍郎，右台中丞魏元忠为凤阁侍郎，并同平章事	腊月，戊子，朝廷任命左台中丞吉顼为天官侍郎，右台中丞魏元忠为凤阁侍郎，一并任同平章事
文昌左丞宗楚客与弟司农卿晋卿，坐赃贿满万余缗及第舍过度，楚客贬播州司马，晋卿流峰州	文昌左丞宗楚客与弟弟司农卿宗晋卿，因贪赃受贿达万余缗钱和住宅过度豪华，宗楚客被降职为播州司马，宗晋卿被流放峰州
太平公主观其第，叹曰：见其居处，吾辈乃虚生耳	太平公主观看他们的住宅后，感叹说：看到他们的住所，我们都白活了
辛亥，赐太子姓武氏；赦天下	辛亥，太后赐太子姓武氏；大赦天下
太后生重眉，成八字，百官皆贺	太后长出重叠的眉毛，呈八字形，百官都祝贺
春，一月，庚申，夏官尚书、同凤阁鸾台三品武攸宁罢为冬官尚书	春季，一月，庚申，夏官尚书、同凤阁鸾台三品武攸宁被罢免为冬官尚书
二月，己丑，太后幸嵩山，过缑氏，谒升仙太子庙	二月，己丑，太后前往嵩山，途经缑氏县时，参拜升仙太子庙
壬辰，太后不豫，遣给事中栾城阎朝隐祷少室山	壬辰，太后得病，派遣给事中栾城人阎朝隐向少室山神求福
朝隐自为牺牲，沐浴伏俎上，请代太后命	阎朝隐自己作祭品，沐浴后伏在盛祭品的礼器上，请求代替太后承担病痛
太后疾小愈，厚赏之	太后病稍好，便给他丰厚的赏赐
丁酉，自缑氏还	丁酉，太后从缑氏返回
初，吐蕃赞普器弩悉弄尚幼，论钦陵兄弟用事，皆有勇略，诸胡畏之	当初，吐蕃赞普器弩悉弄还年幼，论钦陵兄弟掌权，他们都有勇力谋略，各部胡人都畏惧他们
钦陵居中秉政，诸弟握兵分据方面，赞婆常居东边，为中国患者三十余年	论钦陵在朝中执政，几位弟弟领兵在外镇守各地，其中论赞婆常驻守东边，构成对唐朝的祸患三十多年
器弩悉弄浸长，阴与大臣论岩谋诛之	器弩悉弄逐渐成长，秘密与大臣论岩谋划处死他们
会钦陵出外，赞普诈云出畋，集兵执钦陵亲党二千余人，杀之，遣使召钦陵兄弟，钦陵等举兵不受命	遇上论钦陵外出，赞普便假称出去打猎，召集士兵逮捕并杀死论钦陵的亲属、党羽二千余人，派遣使者召论钦陵兄弟回来，论钦陵等起兵，不接受命令
赞普将兵讨之，钦陵兵溃，自杀	赞普领兵讨伐他们，论钦陵兵败后自杀
夏四月，赞婆帅所部千人来降，太后命左武卫铠曹参军郭元振与河源军大使夫蒙令卿将骑迎之，以赞婆为特进、归德王	夏季，四月，论赞婆率领部下一千余人前来投降，太后命令左武卫铠曹参军郭元振与河源军大使夫蒙令卿领骑兵迎接他，任命赞婆为特进、归德王
钦陵子弓仁，以所统吐谷浑七千帐来降，拜左玉钤卫将军、酒泉郡公	论钦陵的儿子弓仁，带领他统辖的吐谷浑七千帐投降唐朝，被任命为左玉钤卫将军、酒泉郡公
壬辰，以魏元忠检校并州长史，充天兵军大总管，以备突厥	壬辰，朝廷任命魏元忠为检校并州长史，充任天兵军大总管，以防备突厥
太后春秋高，虑身后太子与诸武不相容	太后年纪大了，恐怕自己死后太子与武氏诸王等不能相容
壬寅，命太子、相王、太平公主与武攸暨等为誓文，告天地于明堂，铭之铁券，藏于史馆	壬寅，命令太子、相王、太平公主和武攸暨等拟定互不伤害的誓词，在明堂向天地立誓，并将誓词铭刻在铁契上，收藏于史馆中
秋，七月，命建安王武攸宜留守西京，代会稽王武攸望	秋季，七月，朝廷命令建安王武攸宜留守西京，接替会稽王武攸望
丙辰，吐谷浑部落一千四百帐内附	丙辰，吐谷浑部落一千四百帐归附唐朝
制：州县长吏，非奉有敕旨，毋得擅立碑	太后命令：州县长官，没有奉君主的命令，不得擅自立碑
内史王及善虽无学术，然清正难夺，有大臣之节	内史王及善虽然没有学问，但清廉正直坚定，有大臣的气节
张易之兄弟每侍内宴，无复人臣礼；及善屡奏以为不可	张易之兄弟每次陪侍太后在宫内宴钦，无视作为臣下应遵循的礼仪，王及善一再上奉认为不能这样
太后不悦，谓及善曰：卿既年高，不宜更侍游宴，但检校阁中可也	太后不高兴，对王及善说：你年事已高，不宜于再陪侍游乐宴钦，只要检查所掌管的官署就可以了
及善因称病，谒假月余；太后不问	王及善因此声称有病，请假一个多月，太后也不过问
及善叹曰：岂有中书令而天子可一日不见乎	王及善感叹说：哪有天子一日可以不见中书令的呢
事可知矣	其他的事情就可想而知了
乃上疏乞骸骨，太后不许	于是上疏请求退休，太后没有批准
庚子，以及善为文昌左相，太子宫尹豆卢钦望为文昌右相，仍并同凤阁鸾台三品	庚子，朝廷任命王及善为文昌左相，太子宫尹豆卢钦望为文昌右相，仍一并任同凤阁鸾台三品
鸾台侍郎、同平章事杨再思罢为左台大夫	鸾台侍郎、同平章事杨再思被罢免为左台大夫
丁未，相王兼检校安北大都护	丁未，相王兼检校安北大都护
以天官侍郎陆元方为鸾台侍郎、同平章事	朝廷任命天官侍郎陆元方为鸾台侍郎、同平章事
纳言、陇右诸军大使娄师德薨	纳言、陇右诸军大使娄师德去世
戊申，以武三思为内史	戊申，朝廷任命武三思为内史
九月，乙亥，太后幸福昌；戊寅，还神都	九月，乙亥，回到神都
庚子，邢贞公王及善薨	庚子，邢贞公王及善去世
河溢，漂济源百姓庐舍千余家	黄河水泛滥，冲走济源百姓房屋千余家
冬，十月，丁亥，论赞婆至都，太后宠待赏赐甚厚，以为右卫大将军，使将其众守洪源谷	冬季，十月，丁亥，吐蕃论赞婆来到神都，太后给予的荣宠礼遇和赏赐都很优厚，任命他为右卫大将军，派他率领他的部众驻守洪源谷
太子、相王诸子复出阁	太子、相王的几个儿子结束幽禁出宫为王
太后自称制以来，多以武氏诸王及驸马都尉为成均祭酒，博士、助教亦多非儒士	太后自称帝以来，多用武氏诸王及驸马都尉为成均祭酒，博士、助教，也多不是通儒学的人
又因郊丘，明堂，拜洛，封嵩，取弘文国子生为斋郎，因得选补	又因为在南郊圜丘祭天，在明堂祭祀，拜洛河神，封嵩山，都用弘文馆和国子学学生作斋郎，他们因此得以选任为官员
由是学生不复习业，二十年间，学校殆废	由此学生不再研习学业，二十年间，学校几乎荒废
而时酷吏所诬陷者，其亲友流离，未获原宥	而不久前被酷吏所诬陷的人，他们的亲友离散，还未获得宽赦
凤阁舍人韦嗣立上疏，以为：时俗浸轻儒学，先王之道，弛废不讲	凤阁舍人韦嗣立上疏认为：现在社会风气日益轻视儒学，古代帝王的圣道都废弃不复讲求
宜令王公以下子弟，皆入国学，不听以他岐仕进	应当命令王公以下的子弟都入国学，不让他们通过其他途径获取官职
又，自扬、豫以来，制狱渐繁，酷吏乘间，专欲杀人以求进	还有，自从徐敬业起兵扬州、越王李贞起兵豫州以来，奉诏令特设的监狱中的案件日渐繁多，酷吏钻空子，专想以杀人谋求升官
赖陛下圣明，周、丘、王、来相继诛殛，朝野庆泰，若再睹阳和	幸亏陛下圣明，周兴、丘神、王弘义、来俊臣相继被处死，朝廷和民间都庆祝平安，好比再次看到春天的阳光
至如仁杰、元忠，往遭按鞠，亦皆自诬，非陛下明察，则以为醢矣；今陛下升而用之，皆为良辅	至于像狄仁杰、魏元忠，以往遭到审讯，也都无罪而自认有罪，如果不是陛下看得清楚，则早已经成为肉酱了；现在陛下提升任用他们，都成为很好的助手
何乃前非而后是哉	为什么以前非难贬斥他们而后来却褒扬他们呢
诚由枉陷与甄明耳	确实是由于从前被冤枉诬陷而现在则甄别清楚罢了
臣恐之负冤得罪者甚众，亦皆如是	我恐怕从前蒙冤获罪的人很多，情况也都和他们二人一样
伏望陛下弘天地之仁，广雷雨之施，自垂拱以来，罪无轻重，一皆昭洗，死者追复官爵，生者听还乡里	诚恳希望陛下弘扬天地间的仁义，广施恩泽，自垂拱年间以来，获罪的人不管轻重，一律昭雪，死了的追认恢复原来的官爵，还活着的听任他们返回家乡
如此，则天下知昔之枉滥，非陛下之意，皆狱吏之辜，幽明欢欣，感通和气	这样，则天下人知道过去的滥杀无辜，不是陛下的本意，都是监狱官吏的罪恶，人鬼都高兴，就会与阴阳谐和之气感应
太后不能从	太后不能接受他的意见
是岁，突厥默啜立其弟咄悉匐为左厢察，骨笃禄子默矩为右厢察；，各主兵二万余人；其子匐俱为小可汗，位在两察上，主处木昆等十姓，兵四万余人，又号为拓西可汗	本年，突厥阿史那默啜立他的弟弟阿史那咄悉匐为左厢察，阿史那骨笃禄的儿子阿史那默矩为右厢察，各领兵二万余人；他的儿子阿史那匐俱为小可汗，地位在左、右厢察之上，主管处木昆等十姓，兵四万余人，又号称拓西可汗
	久视元年
正月，戊寅，内史武三思罢为特进、太子少保	正月，戊寅，内史武三思被罢免为特进、太子少保
天官侍郎、同平章事吉顼贬安固尉	天官侍郎、同平章事吉顼降职为安固县尉
腊月，辛巳，立故太孙重润为邵王，其弟重茂为北海王	腊月，辛巳，朝廷立原皇太孙李重润为邵王，立他弟弟李重茂为北海王
太后问鸾台侍郎陆元方以外事，对曰：臣备位宰相，有大事不敢不以闻；人间细事，不足烦圣听	太后向鸾台侍郎、周平章事陆元方询问朝廷外面的事，回答说：我凑数充任宰相，有大事不敢不向陛下报告；民间细小的事情，不值得扰乱陛下的听闻
由是忤旨	因此违背太后旨意
庚寅，罢为司礼卿	庚寅，陆元方被罢免为司礼卿
以西突厥竭忠事主可汗斛瑟罗为平西军大总管，镇碎叶	朝廷任命西突厥竭忠事主可汗斛瑟罗为平西军大总管，镇守碎叶
丁酉，以狄仁杰为内史	丁酉，朝廷任命狄仁杰为内史
庚子，以文昌左丞韦巨源为纳言	庚子，朝廷任命文昌左丞韦巨源为纳言
二月，乙未，同凤阁鸾台三品豆卢钦望罢为太子宾客	二月，乙未，同凤阁鸾台三品豆卢钦望被罢免为太子宾客
三月，以吐谷浑青海王宣超为乌地也拔勤忠可汗	三月，朝廷任命吐谷浑青海王宣超为乌地也拔勤忠可汗
夏，四月，戊申，太后幸三阳宫避暑，有胡僧邀车驾观葬舍利，太后许之	夏季，四月，戊申，太后前往三阳宫避暑，有胡僧邀请太后参观埋葬佛舍利，太后答应
狄仁杰跪于马前曰：佛者夷狄之神，不足以屈天下之主	出发时狄仁杰跪在太后的马前说：佛是夷狄的神，不值得让天下的君主屈尊驾临
彼胡僧诡谲，直欲邀致万乘以惑远近之人耳	那胡僧诡计多端，是想邀请到万乘之尊借以迷惑远近百姓
山路险狭，不容侍卫，非万乘所宜临也	同时沿途山路艰险狭窄，容纳不下侍卫的人，也不是万乘之尊所应当驾临的地方
太后中道而还曰：以成吾直臣之气	太后中途返回，说：这是为了成全我们的正直之臣的正气
五月，己酉朔，日有食之	五月，己酉朔，出现日食
太后使洪州僧胡超合长生药，三年而成，所费巨万	太后指派洪州和尚胡超配制长生不老药，三年而成，耗费资财数以亿计
太后服之，疾小瘳	太后服用后，病稍好转
癸丑，赦天下，改元久视；去天册金轮大圣之号	癸丑，太后大赦天下，更改年号为久视；取消天册金轮大圣的称号
秋，七月，献俘于含枢殿	秋季，七月，李楷固献契丹俘虏于含枢殿
太后以楷固为左玉钤卫大将军、燕国公，赐姓武氏	武则天任命李楷固为左玉钤卫大将军，封燕国公，赐姓武氏
召公卿合宴，举觞属仁杰曰：公之功也	武则天设宴款待诸位公卿，席间举杯对狄仁杰说：这是您的功劳啊
将赏之，对曰：此乃陛下威灵，将帅尽力，臣何功之有	准备赏赐他，狄仁杰回答说：此次平定契丹余党乃是由于陛下的声威以及将帅竭忠尽力所致，我又有什么功劳呢
固辞不受	坚决推辞，不接受赏赐
闰月，戊寅，车驾还宫	闰月，戊寅，武则天自三阳宫回到洛阳宫
庚戌，以魏元忠为陇右诸军大使，击吐蕃	庚戌，武则天任命魏元忠为陇右诸军大使，进攻吐蕃
冬，十月，辛亥，以魏元忠为萧关道大总管，以备突厥	冬季，十月，辛亥，武则天任命魏元忠为萧关道大总管，目的是为了防备突厥的侵扰
丁巳，纳言韦巨源罢，以文昌右丞韦安石为鸾台侍郎、同平章事	丁巳，武则天免去纳言韦巨源的职务，任命文昌右丞韦安石为鸾台侍郎、同平章事
安石，津之孙也	韦安石是韦津的孙子
丁卯，太后幸新安；壬申，还宫	丁卯，又回到宫中
十二月，甲寅，突厥掠陇右诸监马万余匹而去	十二月，甲寅，突厥兵掠走陇右诸牧监畜养的军马一万多匹后撤离
时屠禁尚未解，凤阁舍人全节崔融上言，以为：割烹牺牲，弋猎禽兽，圣人著之典礼，不可废阙	这时，有关杀猪宰羊以及捕鱼捞虾的禁令还没有解除，担任凤阁舍人职务的全节县人崔融进言，认为：宰割烹调牲畜和猎杀飞禽走兽，已被圣人写入礼制典章，不可废弃和缺少
又，江南食鱼，河西食肉，一日不可无；富者未革，贫者难堪	况且鱼和肉分别是江南人和河西人必备的食品，一天也不能没有它们；富人的生活习惯无法改变，穷人也无法忍受终日不见鱼肉的生活；再说贫穷卑贱的屠户，一直都是把屠宰当作衣食之源的
况贫贱之人，仰屠为生，日戮一人，终不能绝，但资恐喝，徒长奸欺	所以即使陛下每天都要处死一个敢于违反禁令的人，终究不可能真正有效地实施禁止屠宰捕鱼的法令，只不过助长要挟恐赫和奸诈行为而已
为政者苟顺月令，合礼经，自然物遂其生，人得其性矣	治理国家的人行事如果真正能够顺应自然气候的变化，合乎礼经的规定，自然会使万物的生长符合其本身的规律，百姓也能够各按他们的本性生活
戊午，复开屠禁，祠祭用牲牢如故	戊午，武则天下诏废除有关屠宰捕鱼的禁令，祭祀时仍然像往常那样用牛羊猪等牺牲作祭品
	长安元年
春，正月，丁丑，以成州言佛迹见，改元大足	春季，正月，丁丑，由于成州说发现了佛的足迹的缘故，武则天改年号为大足
二月，己酉，以鸾台侍郎柏人李怀远同平章事	二月，己酉，武则天任命鸾台侍郎柏人县人李怀远为同平章事
是月，大雪，苏味道以为瑞，帅百官入贺	就在这个月，突然降下大雪，苏味道认为这是吉兆，便带领文武百官入朝祝贺
殿中侍御史王求礼止之曰：三月雪为瑞雪，腊月雷为瑞雷乎	殿中侍御史王求礼上前制止，他说：如果说阳春三月下的雪是瑞雪，那么寒冬腊月打雷就应该是瑞雷啦
味道不从	苏味道不听劝阻
既入，求礼独不贺，进言曰：今阳和布气，草木发荣，而寒雪为灾，岂得诬以为瑞	入朝之后，惟独王求礼不但不称贺，反而向武则天进言道：现在正是春天温暖的气息散发、草木生长开花的季节，而突然降下大雪会成为灾害，怎么能歪曲说这场大雪象征着吉兆呢
贺者皆谄谀之士也	称贺的人都是阿谀奉承之辈
太后为之罢朝	武则天因此而罢朝
夏，五月，乙亥，太后幸三阳宫	夏季，五月，乙亥，武则天住进了三阳宫
以魏元忠为灵武道行军大总管，以备突厥	武则天任命魏元忠为灵武道行军大总管，目的是为了防备突厥的侵扰
天官侍郎盐官顾琮同平章事	天官侍郎盐官县人顾琮任同平章事
六月，庚申，以夏官尚书李迥秀同平章事	六月，庚申，武则天任命夏官尚书李迥秀为同平章事
秋，七月，甲戌，太后还宫	秋季，七月，甲戌，武则天回到宫中
甲申，李怀远罢为秋官尚书	甲申，李怀远被罢免为秋官尚书
八月，突厥默啜寇边，命安北大都护相王为天兵道元帅，统诸军击之，未行而虏退	八月，突厥阿史那默啜进犯边境，武则天派安北大都护相王李旦任天兵道元帅，统率众路大军迎击，还没有等到发兵，突厥即已退军
丙寅，武邑人苏安恒上疏曰：陛下钦先圣之顾托，受嗣子之推让，敬天顺人，二十年矣	丙寅，武邑人苏安恒上疏道：陛下钦仰先帝的临终嘱托，接受太子的辞让，上敬天意，下顺民心，至今已有二十年了
岂不闻帝舜褰裳，周公复辟	难道陛下没有听说过帝舜撩起衣裳、离开帝位，和周公归政于成王的事情吗
舜之于禹，事祗族亲；旦与成王，不离叔父	帝舜和大禹之间，仅仅是同族亲属的关系；周公旦与周成王之间，也不过是叔侄关系
族亲何如子之爱，叔父何如母之恩	同族亲属之间的感情哪里能与亲生儿子对母亲的敬爱相比，叔父对于侄子又哪里能够比得上母亲对儿子的情分
今太子孝敬是崇，春秋既壮，若使统临宸极，何异陛下之身	现在太子尊崇孝亲敬上之道，又已到壮年，如果让他即皇帝位，治理国家，与陛下自居帝位又能有什么区别
陛下年德既尊，宝位将倦，机务烦重，浩荡心神，何不禅位东宫，自怡圣体	陛下的年纪与德望都很高了，身居帝位将感到疲倦，需要处理的事务十分烦重，会使您心神耗竭，无从思虑，陛下为什么不将帝位禅让给太子，以追求御体的安康愉悦呢
自昔理天下者，不见二姓而俱王也	自古以来治理天下，不曾见过两个不同姓氏的家族成员同时被封为王的，而现在梁王武三思、定王武攸暨、河内王武懿宗、建昌王武攸宁等，承蒙陛下的荫庇，都被封为王
当今梁、定、河内、建昌诸王，承陛下之荫覆，并得封王；臣谓千秋万岁之后，于事非便，臣请黜为公侯，任以闲简	臣以为这件事在陛下百年之后，将会非常不利，因此我请求陛下将他们降为公侯，并任命他们担任清闲的职务
臣又闻陛下有二十余孙，今无尺寸之封，此非长久之计也；臣请分土而王之，择立师傅，教其孝敬之道，以夹辅周室，屏藩皇家，斯为美矣	此外，我还听说陛下有二十多个孙子，至今仍然没有得到任何封号，这也同样不是长久之计，所以臣请求陛下把他们分封为王，为他们选择师傅，以教导他们孝亲敬上之道，使他们能辅佐大周皇室，成为国家的屏障，这就完美无缺了
疏奏，太后召见，赐食，慰谕而遣之	奏疏进呈后，武则天召见了他，并赐给酒饭，用好话慰解之后送他出宫
丙申，以相王知左、右羽林卫大将军事	丙申，武则天任命相王李旦主持左、右羽林卫大将军的事务
冬，十月，壬寅，太后西入关，辛酉，至京师；赦天下，改元	冬季，十月，壬寅，到达京城长安；下诏赦免天下罪犯，改年号为长安
十一月，戊寅，改含元宫为大明宫	十一月，戊寅，武则天把含元宫改名为大明宫
天官侍郎安平崔玄，性介直，未尝请谒	天官侍郎安平县人崔玄，性情耿直，从来不向权贵请托求见
执政恶之，改文昌左丞	这些人讨厌他，于是让他改任文昌左丞
月余，太后谓玄曰：自卿改官以来，闻令史设斋自庆	一个多月之后，武则天对崔玄说：我听说自从你改任文昌左丞之后，你原来属下的令史等官吏纷纷准备斋食施给僧尼以示庆贺，看起来他们是想大干贪赃枉法的事呀
此欲盛为奸贪耳；今还卿旧任	所以现在我让你官复原职
乃复拜天官侍郎，仍赐彩七十段	于是重新任命崔玄为天官侍郎，还赏赐他彩色丝织物七十段
以主客郎中郭元振为凉州都督、陇右诸军大使	武则天任命主客郎中郭元振为凉州都督、陇右诸军大使
春，正月，乙酉，初设武举	春季，正月，乙酉，武则天第一次在科举考试中增设武举
五月，壬申，苏安恒复上疏曰：臣闻天下者，神尧、文武之天下也，陛下虽居正统，实因唐氏旧基	五月，壬申，苏安恒再次上疏说：臣听说这天下是高祖神尧皇帝和太宗文武皇帝的天下，陛下虽居皇帝之位，但实际所依靠的毕竟是大唐旧有的基业
当今太子追回，年德俱盛，陛下贪其宝位而忘母子深恩，将何圣颜以见唐家宗庙，将何诰命以谒大帝坟	现在太子重新得立，正当壮年，品德高尚，陛下因贪恋皇位而忘却母子之间的深厚恩情，将以什么脸面去见供奉在宗庙之中的大唐列祖列宗，又将以何种身份去谒见大唐高宗皇帝的陵寝
陛下何故日夜积忧，不知钟鸣漏尽	陛下为什么还要日夜忧虑国事，而不明白自己已到了晨钟已响、夜漏将尽的暮年
臣愚以为天意人事，还归李家	臣愚昧，以为天意人心，都希望将皇位归还李家
陛下虽安天位，殊不知物极则反，器满则倾	陛下只安于皇位，很不明白物极必反、器满则倾的道理
臣何惜一朝之命而不安万乘之国哉	臣为了使社稷长治久安，又怎么能顾惜个人的短暂生命呢
太后亦不之罪	武则天也没有加罪于他
乙未，以相王为并州牧，充安北道行军元帅，以魏元忠为之副	乙未，武则天任命相王李旦为并州牧，充任安北道行军元帅，任命魏元忠作他的副职
六月，壬戌，召神都留守韦巨源诣京师，以副留守李峤代之	六月，壬戌，武则天将神都留守韦巨源召到京师长安，指派神都副留守李峤代行他的职务
秋，七月，甲午，突厥寇代州	秋季，七月，甲午，突厥兵进犯代州
司仆卿张昌宗兄弟贵盛，势倾朝野	司仆卿张昌宗兄弟贵显已极，权倾朝野
八月，戊午，太子、相王、太平公主上表请封昌宗为王，制不许；壬戌，又请，乃赐爵邺国公	八月，戊午，这些人又请求封张昌宗为王，武则天才答应赐张昌宗为邺国公
敕：自今有告言扬州及豫、博余党，一无所问，内外官司无得为理	武则天颁下敕书：从现在起如果再有揭发光宅元年扬州徐敬业谋反案以及垂拱四年豫州李贞、博州李冲父子谋反案余党的，都不必过问，朝廷内外各衙门一律不得受理
九月，乙丑朔，日有食之，不尽如钩，神都见其既	九月，乙丑朔，出现日食，没有全食，还看到像镰刀一样的形状，在神都能见到日全食
壬申，突厥寇忻州	壬申，突厥兵进犯忻州
己卯，吐蕃遣其臣论弥萨来求和	己卯，吐蕃派大臣论弥萨前来求和
庚辰，以太子宾客武三思为大谷道大总管，洛州长史敬晖为副；辛巳，又以相王旦为并州道元帅，三思与武攸宜、魏元忠为之副；姚元崇为长史，司礼少卿郑杲为司马；然竟不行	庚辰，武则天又任命相王李旦为并州道元帅，任命武三思与武攸宜、魏元忠三人为李旦的副职；任命姚元崇为长史，司礼少卿郑杲为司马，但是却没有赴任
癸未，宴论弥萨于麟德殿	癸未，武则天在麟德殿宴请吐蕃大臣论弥萨
时凉州都督唐休入朝，亦预宴	这时凉州都督唐休正好入朝，也参加了这次宴会
弥萨屡窥之	论弥萨屡次偷看唐休
太后问其故，对曰：洪源之战，此将军猛厉无敌，故欲识之	武则天询问论弥萨这样做的原因，论弥萨回答说：在洪源战役中，这位将军勇猛无敌，所以我想要认识他
太后擢休为右武威、金吾二卫大将军	武则天提拔唐休为右武威、金吾二卫大将军
休练习边事，自碣石以西逾四镇，绵旦万里，山川要害，皆能记之	唐休极为熟悉边境地区的军政事务，自辽东碣石以西直至安西四镇以外绵延万里的山川险要之处，他都能记住
冬，十月，甲辰，天官侍郎、同平章事顾琮薨	冬季，十月，甲辰，天官侍郎、同平章事顾琮去世
戊申，吐蕃赞普将万余人寇茂州，都督陈大慈与之四战，皆破之，斩首千余级	戊申，吐蕃赞普率领一万多人马进犯茂州，都督陈大慈与吐蕃军队四次交战，每次都打败了他们，共斩敌首一千余级
戊子，太后祀南郊，赦天下	戊子，武则天到南郊祭祀，大赦天下罪人
十二月，甲午，以魏元忠为安东道安抚大使，羽林卫大将军李多祚检校幽州都督，右羽林卫将军薛讷、左武卫将军骆务整为之副	十二月，甲午，武则天任命魏元忠为安东道安抚大使，羽林卫大将军李多祚为检校幽州都督，右羽林卫将军薛讷、左武卫将军骆务整作他的副职
戊申，置北庭都护府于庭州	戊申，朝廷在西域的庭州设置北庭都护府
春，三月，壬戌朔，日月食之	春季，三月，壬戌朔，出现日食
夏，四月，吐蕃遣使献马千匹、金二千两以求婚	夏季，四月，吐蕃派遣使者前来进献马一千匹、黄金二千两，目的是为了向大唐求婚
闰月，丁丑，命韦安石留守神都	闰月，丁丑，武则天命令韦安石留守神都
新罗王金理洪卒，遣使立其弟崇基为王	新罗王金理洪去世，武则天派遣使者前去立他的弟弟金崇基为王
六月，辛酉，突厥默啜遣其臣莫贺干来，请以女妻皇太子之子	六月，辛酉，突厥阿史那默啜派大臣莫贺干前来，请求把他的女儿嫁给皇太子的儿子
宁州大水，溺杀二千余人	宁州发大水，淹死二千多人
秋，七月，癸卯，以正谏大夫朱敬则同平章事	秋季，七月，癸卯，武则天任命正谏大夫朱敬则为同平章事
戊申，以相王旦为雍州牧	戊申，武则天任命相王李旦为雍州牧
九月，庚寅朔，日有食之，既	九月，庚寅朔，出现日食，是日全食
丁未，以左武卫大将军武攸宜充西京留守	丁未，武则天派左武卫大将军武攸宜充任西京留守
冬，十月，丙寅，车驾发西京；乙酉，至神都	冬季，十月，丙寅，抵达神都
十一月，突厥遣使谢许婚	十一月，突厥阿史那默啜派遣使者前来感谢朝廷充许通婚
丙寅，宴于宿羽台，太子预焉	丙寅，武则天在宿羽台设宴款待突厥使者，太子李显也参加了宴会
宫尹崔神庆上疏：以为：今五品以上所以佩龟者，为别敕徵召，恐有诈妄，内出龟合，然后应命	宫尹崔神庆上疏认为：当今五品以上官员之所以随身佩戴龟符，是因为天子如有特别命令征召入宫，担心有人欺诈，冒充被召之人，所以必须宫中拿出的龟符与官员随身佩戴的龟符两相吻合，然后被召之人才可以应命入宫
况太子国本，古来征召皆用玉契	何况太子是立国的根本，自古以来征召太子入宫都用玉契，这实在是达到郑重谨慎的极点了
此诚重慎之极也	昨天由于突厥使者前来朝见，太子应该一同入朝参见陛下，当时只有文书下达宫中，而没有另外由陛下降敕征召
昨缘突厥使见，太子应预朝参，直有文符下宫，曾不降敕处分，臣愚谓太子非朔望朝参、应别召者，望降墨敕及玉契	依臣愚见，太子如不是在初一、十五入朝参见，而是接受特别征召前来，那么就希望陛下向太子颁发玉契以及由陛下亲自书写墨敕
太后甚然之	武则天认为他的建议十分正确
是岁，分命使者以六条察州县	在这一年，武则天分别命令使者根据六条标准到各地考察州县官吏的政绩
春，正月，丙申，册拜右武卫将军阿史那怀道为西突厥十姓可汗	春季，正月，丙申，武则天下诏册拜右武卫将军阿史那怀道为西突厥十姓可汗
怀道，斛瑟罗之子也	阿史那怀道是斛瑟罗的儿子
丁未，毁三阳宫，以其材作兴泰宫于万安山	丁未，武则天下令拆毁三阳宫，用拆下来的木石材料在万安山修建兴泰宫
二宫皆武三思建议为之，请太后每岁临幸，功费甚广，百姓苦之	三阳宫和兴泰宫都是在武三思的建议下修建的，武三思请武则天每年驾临其地，工程耗费极大，老百姓因此而受苦
