春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
燕王俊如龙城	前燕王慕容俊到了龙城
丁零翟鼠帅所部降燕，封为归义王	丁零人翟鼠率领兵众投降了前燕，被封为归义王
春，正月，辛卯，日有食之	春季，正月，辛卯，出现日食
司马勋既还汉中，杜洪、张琚屯宜秋	司马勋已经回到汉中，杜洪、张琚驻扎在宜秋
洪自以右族轻琚，琚遂杀洪，自立为秦王，改元建昌	杜洪自以为出身名门望族而轻视张琚，张琚于是就杀掉了杜洪，自立为秦王，改年号为建昌
刘显攻常山，魏主闵留大将军蒋使辅太子智守邺，自将八千骑救之	刘显进攻常山，魏国主冉闵留下大将军蒋辅佐太子冉智守卫邺城，自己统率八千骑兵前去救援
显大司马清河王宁以枣强降魏	刘显的大司马清河人王宁投降了魏国，将枣强县拱手交出
闵击显，败之，追奔至襄国	冉闵攻击刘显，打败了他，追击到襄国
显大将军曹伏驹开门纳闵，闵杀显及其公卿已下百余人，焚襄国宫室，迁其民于邺	刘显的大将军曹伏驹打开城门让石闵进入，石闵杀掉了刘显及其公卿以下的官吏一百多人，焚烧了襄国的宫室，将襄国的百姓迁徙到邺城
赵汝阴王琨以其妻妾来奔，斩于建康市，石氏遂绝	后赵汝阴王石琨带着他的妻妾前来东晋投降，被斩杀在建康街头，于是石氏被彻底根绝了
尚书左丞孔严言于殷浩曰：比来众情，良可寒心，不知使君当何以镇之	尚书左丞孔严向殷浩进言说：近来人们的情绪，真令人心寒，不知您将用什么办法使其安定
愚谓宜明受任之方，韩、彭专征伐，萧、曹守管，内外之任，各有攸司；深思廉、蔺屈身之义，平、勃交欢之谋，令穆然无间，然后可以保大定功也	我认为应该明确官吏的职责，韩信、彭越专事征伐，萧何、曹参留守理财，对内对外的职责，各有所司；还应该深思廉颇、蔺相如为国家利益而捐弃前嫌的道理，陈平、周勃为制止吕氏专权而结为至交的谋略，让人们和睦无间，然后就可以保有天下，成就功业了
观近日降附之徒，皆人面兽心，贪而无亲，恐难以义感也	看看近来投降归附的那些人，全都是人面兽心，贪婪之极而且六亲不认，恐怕难以用道义感化他们
浩不从	殷浩没有听从孔严的意见
严，愉之从子也	孔严是孔愉的侄子
乙巳，燕王俊还蓟，稍徙军中文武兵民家属于蓟	乙巳，前燕王慕容俊回到蓟城，并将少量的军队文武官员、士兵的家属迁徙到蓟城
魏主闵既克襄国，因游食常山、中山诸郡	魏国主冉闵既已攻克襄国，因此就在常山、中山等地周游吃喝
赵立义将军段勤聚胡、羯万余人保据绎幕，自称赵帝	后赵国立义将军段勤聚集了胡族、羯族一万多人保卫据守绎幕，自称为赵帝
夏，四月，甲子，燕王俊遣慕容恪等击魏，慕容霸等击勤	夏季，四月，甲子，前燕王慕容俊派慕容恪等人率兵攻击魏国，派慕容霸等人率兵攻击段勤
秦以张遇为征东大将军、豫州牧	前秦任命张遇为征东大将军、豫州牧
五月，秦主健攻张琚于宜秋，斩之	五月，前秦国主苻健在宜秋攻打张琚，将其斩杀
邺中大饥，人相食，故赵时宫人被食略尽	邺中地区发生严重饥荒，人们互相残食，过去后赵的宫人被残食殆尽
蒋使侍中缪嵩、詹事刘猗奉表请降，且求救于谢尚	蒋派侍中缪嵩、詹事刘猗向东晋朝廷进奉降表，请求投降，并且向谢尚求救
庚寅，燕王俊遣广威将军慕容军、殿中将军慕舆根、右司马皇甫真等帅步骑二万助慕容评攻邺	庚寅，前燕王慕容俊派广威将军慕容军、殿中将军慕舆根、右司马皇甫真等人率领步、骑兵二万人协助慕容评攻打邺城
辛卯，燕人斩冉闵于龙城	辛卯，前燕人在龙城斩杀了冉闵
会大旱、蝗，燕王俊谓闵为祟，遣使祀之，谥曰悼武大王	恰好这时发生了严重的旱灾、蝗灾，前燕王慕容俊说这是冉闵在作祟，便派使臣去祭祀他，给他追封谥号为悼武天王
甲申，秦主健还长安	甲申，前秦国主苻健返回长安
赵故西中郎将王擢遣使请降，拜擢秦州刺史	后赵国过去的西中郎将王擢派遣使者向东晋请求投降，朝廷授予王擢秦州刺史职务
丁酉，以武陵王为太宰	丁酉，东晋朝廷任命武陵王司马为太宰
丙辰，燕王俊如中山	丙辰，前燕王慕容俊到中山
王午闻魏败，时邓恒已死，午自称安国王	王午听说了魏国失败的消息，当时邓恒已经死去，王午自称安国王
八月，戊辰，燕王俊遣慕容恪、封奕、阳骛攻之，午闭城自守，送冉操诣燕军，燕人掠其禾稼而还	八月，戊辰，前燕王慕容俊派慕容恪、封奕、阳鹜攻打他，王午紧闭城门自守，把冉操送给燕军，燕人把他们的庄稼砍掠一空后返回去了
桓温使司马勋助周抚讨萧敬文于涪城，斩之	桓温派司马勋帮助周抚在涪城讨伐萧敬文，杀掉了他
谢尚自枋头迎传国玺至建康，百僚毕贺	谢尚从枋头迎接传国印玺抵达建康，朝廷百官，一同庆贺
秦以雷弱儿为大司马，毛贵为太尉，张遇为司空	前秦任命雷弱儿为大司马，毛贵为太尉，张遇为司空
丁卯，燕王俊还蓟	丁卯，前燕王慕容俊回到蓟城
故赵将拥兵据州郡者，各遣使降燕；燕王俊以王擢为益州刺史，夔逸为秦州刺史，张平为并州刺史，李历为兖州刺史，高昌为安西将军，刘宁为车骑将军	过去后赵国的将领中带领士兵占据州郡的人，各自都派使者向前燕投降，前燕王慕容俊任命王擢为益州刺史，夔逸为秦州刺史，张平为并州刺史，李历为兖州刺史，高昌为安西将军，刘宁为车骑将军
慕容恪屯安平，积粮，治攻具，将讨王午	慕容恪驻扎在安平，储备粮食，准备进攻的武器装备，将要讨伐王午
丙戌，中山苏林起兵于无极，自称天子；恪自鲁口还讨林	丙戌，中山人苏林在无极起兵，自称天子
闰月，戊子，燕王俊遣广威将军慕舆根助恪攻林，斩之	慕容恪从鲁口返回讨伐苏林
王午为其将秦兴所杀	闰十月，戊子，前燕王慕容俊派广威将军慕舆根帮助慕容恪攻打苏林，把他杀掉了
吕护杀兴，复自称安国王	王午被他的将领秦兴杀掉，吕护杀了秦兴，又自称安国王
秦丞相雄攻王擢于陇西，擢奔凉州，雄还屯陇东	前秦丞相苻雄在陇西攻打王擢，王擢逃奔到凉州，苻雄返回，驻扎在陇东
张重华以擢为征虏将军、秦州刺史，特宠待之	张重华任命王擢为征虏将军、秦州刺史，特别宠待他
春，正月，乙卯朔，大赦	春季，正月，乙卯朔，东晋实行大赦
二月，庚子，燕主俊立其妃可足浑氏为皇后，世子晔为皇太子，皆自龙城迁于蓟宫	二月，庚子，前燕国主慕容俊立他的后妃可足浑氏为皇后，立长子慕容晔为皇太子，他们全都从龙城迁至蓟城王宫
三月，交州刺史阮敷讨林邑，破五十余垒	三月，东晋交州刺史阮敷讨伐林邑国，攻破了五十多座营垒
赵故卫尉常山李犊聚众数千人叛燕	后赵国原来的卫尉常山人李犊聚集兵众数千人背叛了前燕
以安西将军谢尚为尚书仆射	东晋朝廷任命安西将军谢尚为尚书仆射
六月，秦苻飞攻氐王杨初于仇池，为初所败	六月，前秦苻飞在仇池攻打氐王杨初，但被杨初打败
丞相雄、平昌王菁帅步骑四万屯于陇东	丞相苻雄、平昌王苻菁率领四万步、骑兵驻扎在陇东
秦以左仆射鱼遵为司空	前秦任命左仆射鱼遵为司空
九月，秦丞相雄帅众二万还长安，遣平昌王菁略定上洛，置荆州于丰阳川，以步兵校尉金城郭敬为刺史	九月，前秦丞相苻雄率领兵众二万人回到长安，派平昌王苻菁平定治理上洛，在丰阳川设置荆州，任命步兵校尉金城人郭敬为刺史
雄与清河王法、苻飞分讨孔持等	苻雄与清河王苻法、苻飞分别讨伐孔持等人
西平敬烈公张重华有疾，子曜灵才十岁，立为世子，赦其境内	西平敬烈公张重华患病，儿子张曜灵才十岁，被立为太子，在境内实行大赦
重华庶兄长宁侯祚，有勇力、吏干，而倾巧善事内外，与重华嬖臣赵长、尉缉等结异姓兄弟	张重华的庶兄长宁侯张祚，力气很大，具有果敢勇猛的禀性和当官的才干，然而为人狡诈，善于看风行事，左右逢源，和张重华的宠臣赵长、尉缉等人结拜为异姓兄弟
都尉常据请出之，重华曰：吾方以祚为周公，使辅幼子，君是何言也	都尉常据请求把他调离，张重华说：我正要把张祚当作周公，让他辅佐幼子，你这是说的什么话呢
殷浩使部将刘启、王彬之攻姚益于山桑，姚襄自淮南击之，启、彬之皆败死	殷浩派部将刘启、王彬之在山桑攻打姚益，姚襄从淮南出兵反击，刘启、王彬之全都战败死亡
襄进据芍陂	姚襄继续前进，占据了芍陂
秦丞相雄克池阳，斩孔持	前秦苻雄攻克池阳，斩杀了孔持
十二月，清河王法、苻飞克，斩刘珍、夏侯显	十二月，清河王苻法、苻飞攻克县，斩杀了刘珍、夏侯显
燕卫将军恪、抚军将军军、左将军彪等屡荐给事黄门侍郎霸有命世之才，宜总大任	前燕卫将军慕容恪、抚军将军慕容军、左将军慕容彪等人曾经屡次荐举给事黄门侍郎慕容霸，说他有显赫于世的才能，应该总揽重任
是岁，燕主俊以霸为使持节、安东将军、北冀州刺史，镇常山	这一年，前燕国主慕容俊任命慕容霸为使持节、安东将军、北冀州刺史、镇守常山
故魏降将周成反，自宛袭洛阳	过去魏国投降过来的将领周成造反，从宛县出发袭击洛阳
辛酉，河南太守戴施奔鲔渚	辛酉，河南太守戴施逃奔到鲔渚
姚襄遣使降燕	姚襄派遣使者向前燕投降
桓温别将攻上洛，获秦荆州刺史郭敬；进击青泥，破之	桓温的另一位将领攻打上洛，俘获了前秦荆州刺史郭敬，继续前进，又攻破了青泥
司马勋掠秦西鄙，凉秦州刺史王擢攻陈仓以应温	司马勋夺取了前秦的西部边陲地带，前凉秦州刺史王擢攻打陈仓以接应桓温
秦主健遣太子苌、丞相雄、淮南王生、平昌王菁、北平王硕帅众五万军于柳以拒温	前秦国主苻健派太子苻苌、丞相苻雄、淮南王苻生、平昌王苻菁、北平王苻硕率领五万兵众驻扎在柳，以阻击桓温
夏，四月，己亥，温与秦兵战于蓝田	夏季，四月，己亥，桓温与前秦军队在蓝田交战
秦淮南王生单骑突陈，出入以十数，杀伤晋将士甚众	前秦淮南王苻生单枪匹马冲入敌阵，往返十多次，杀死杀伤了众多的东晋将士
温督众力战，秦兵大败；将军桓冲又败秦丞相雄于白鹿原	桓温督促兵众奋力拼搏，前秦军队终于被打得大败
冲，温之弟也	将军桓冲又在白鹿原打败了前秦丞相苻雄
温转战而前，壬寅，进至灞上	桓冲是桓温的弟弟
秦太子苌等退屯城南，秦主健与老弱六千固守长安小城，悉发精兵三万，遣大司马雷弱儿等与苌合兵以拒温	桓温转战前进，壬寅，到达灞上
三辅郡县皆来降	前秦太子苻苌等退守驻扎在城南，前秦国主苻健与六千老弱民众固守长安小城，把三万精锐兵士全部派出，让大司马雷弱儿等人与苻苌会合兵力，以抵抗桓温
温抚谕居民，使安堵复业	三辅地区的郡县全都投降
民争持牛酒迎劳，男女夹路观之，耆老有垂泣者，曰：不图今日复睹官军	桓温安抚告谕当地居民，让他们安居复业，当地的百姓争先恐后地带着酒肉迎接慰劳桓温的部队，男男女女夹道围观，有些老年人还激动地流下了眼泪，说：没想到今天又见到了朝廷的军队
五月，江西流民郭敞等执陈留内史刘仕，降于姚襄	五月，江西的流民郭敞等一千多人挟持着陈留内史刘仕投降了姚襄
建康震骇，以吏部尚书周闵为中军将军，屯中堂，豫州刺史谢尚自历阳还卫京师，固江备守	东晋朝廷十分震惊，任命吏部尚书周闵为中军将军，驻扎宫中，豫州刺史谢尚从历阳返回，戍卫京师，加固长江防线，严密守备
王擢拔陈仓，杀秦扶风内史毛难	王擢攻克陈仓，杀掉了前秦的扶风内史毛难
北海王猛，少好学，倜傥有大志，不屑细务，人皆轻之	北海人王猛，从小好学，才能卓越，胸怀大志，不屑于琐碎事务，人们都轻视他
猛悠然自得，隐居华阴	王猛却悠然自得，隐居于华阴
闻桓温入关，披褐诣之，扪虱而谈当世之务，旁若无人	当他听说桓温入关后，便披着粗布衣服去拜访他，边摸着虱子边谈论当时的大事，旁若无人
温异之，问曰：吾奉天子之命，将锐兵十万为百姓除残贼，而三秦豪杰未有至者，何也	桓温觉得他与众不同，便问道：我奉天子之命，统帅十万精兵为百姓消灭残存的寇贼，然而三秦的豪杰之士至今没有人前来归附，这是为什么呢
猛曰：公不远数千里，深入敌境，今长安咫尺而不渡灞水，百姓未知公心，所以不至	王猛说：您不远数千里，深入敌土，如今长安近在咫尺而您却不横渡灞水，百姓们不知道您的意图，所以不来
温嘿然无以应，徐曰：江东无卿比也	桓温沉默不语，无以应答，过了一会儿说：长江以南没有人能和你相比
乃署猛军谋祭酒	于是就安排王猛暂任军谋祭酒
秦丞相雄击司马勋、王擢于陈仓，勋奔汉中，擢奔略阳	前秦丞相苻雄在陈仓攻击司马勋、王擢，司马勋逃奔汉中，王擢逃奔略阳
秦以光禄大夫赵俱为洛阳刺史，镇宜阳	前秦任命光禄大夫赵俱为洛州刺史，镇守宜阳
燕大调兵众，因发诏之日，号曰丙戌举	前燕大规模地征调兵众，根据发布诏令的日期，这次征调称为丙戌举
九月，桓温还自伐秦，帝遣侍中、黄门劳温于襄阳	九月，桓温从伐秦前线返回，东晋穆帝派侍中、黄门侍郎在襄阳慰劳桓温
秦太子苌之拒桓温也，为流矢所中，冬，十月，卒，谥曰献哀	前秦太子苻苌抵御桓温进攻的时候，被流箭射中，冬季，十月，去世，追封谥号为献哀
燕王俊如龙城	前燕国主慕容俊到龙城
桓温之入关也，王擢遣使告凉王祚，言温善用兵，其志难测	桓温入关的时候，王擢派遣使者向前凉王张祚报告，说桓温善于用兵，他的志向难以猜测
祚惧，且畏擢之叛己，遣人刺之	张祚十分害怕，而且担心王擢背叛自己，于是就派人去刺杀王擢
事泄，祚益惧，大发兵，声言东伐，实欲西保敦煌，会温还而止	事情败露，张祚更加害怕，于是大举出兵，声称要去东伐，实则想西退保全敦煌，恰好这时桓温撤兵返回，他才停止了行动
既而遣秦州刺史牛霸等帅兵三千击擢，破之	接着又派秦州刺史牛霸等人率领三千士兵攻打王擢，王擢被打败
十一月，擢帅众降秦，秦以擢为尚书，以上将军啖铁为秦州刺史	十一月，王擢率领兵众投降了前秦，前秦任命他为尚书，任命上将军啖铁为秦州刺史
秦王健叔父武都王安自晋还，为姚襄所虏，以为洛州刺史	前秦国主苻健的叔父武都王苻安从东晋返回时，被姚襄俘虏，任命他为洛州刺史
十二月，安亡归秦，健以安为大司马、骠骑大将军、并州刺史，镇蒲阪	十二月，苻安逃回到了前秦，苻健任命他为大司马、骠骑大将军、并州刺史，镇守蒲阪
是岁，秦大饥，米一升直布一匹	这一年，前秦发生严重饥荒，一升米价值一匹布
二月，秦大蝗，百草无遗，牛马相啖毛	二月，前秦发生严重蝗灾，百草无遗，牛马互相啃食身上的毛
兰陵太守孙黑、济北太守高柱、建兴太守高及秦河内太守王会、黎阳太守韩高皆以郡降燕	兰陵太守孙黑、济北太守高柱、建兴太守高，以及前秦河内太守王会、黎阳太守韩高全都投降了前燕，将所据之郡拱手相让
秦淮南王生幼无一目，性粗暴	前秦淮南王苻生小时丧失了一只眼睛，性情暴烈
其祖父洪尝戏之曰：吾闻瞎儿一泪，信乎	他的祖父苻洪曾经和他开玩笑说：我听说瞎儿只有一只眼流泪，真的吗
生怒，引佩刀自刺出血，曰：此亦一泪也	苻生听后发怒了，拔出佩刀就刺向自己的瞎眼，鲜血直流，说：这也是一只眼的眼泪
洪大惊，鞭之	苻洪见状十分震惊，用鞭子打他
生曰：性耐刀槊，不堪鞭棰	苻生说：我生性能够忍耐刀矛，但不堪忍受鞭打
洪谓其父健曰：此儿狂悖，宜早除之；不然，必破人家	苻洪对苻生父亲苻健说：这个儿子狂暴悖逆，应该尽早除掉他，不然，一定会导致家破人亡
健将杀之，健弟雄止之曰：儿长自应改，何可遽尔	苻健正准备杀掉苻生，苻健的弟弟苻雄劝阻说：儿子长大以后自然就会改变，怎么能这样急不可耐呢
及长，力举千钧，手格猛兽，走及奔马，击刺骑射，冠绝一时	等到苻生长大以后，能够力举千钧，徒手与猛兽搏斗，跑起来赶得上奔驰的骏马，击刺骑射各种武艺，全都冠绝一时
献哀太子卒，强后欲立少子晋王柳；秦主健以谶文有三羊五眼，乃立生为太子	太子苻苌死后，强太后想立小儿子晋王苻柳，前秦国主苻健认为谶文中有三羊五眼的字样，于是就立苻生为太子
以司空、平昌王菁为太尉，尚书令王堕为司空，司隶校尉梁楞为尚书令	任命司空、平昌王苻菁为太尉，尚书令王堕为司空，司隶校尉梁楞为尚书令
六月，丙子，秦主健寝疾	六月，丙子，前秦国主苻健患病，卧床不起
庚辰，平昌公菁勒兵入东宫，将杀太子生而自立	庚辰，平昌王苻菁率兵进入东宫，准备杀掉太子苻生而自立
时生侍疾西宫，菁以为健已卒，攻东掖门	这时苻生正在西宫服侍患病的苻健，苻菁以为苻健已经死了，便攻打东掖门
健闻变，登端门，陈兵自卫	苻健听到变故的消息后，登上端门，布署兵力自卫
众见健惶惧，皆舍仗逃散	苻菁的兵众看见苻健后十分惶恐害怕，全都丢下武器四处逃散
健执菁，数而杀之，余无所问	苻健抓到了苻菁，数说了他的罪行后把他杀死，其余的人不加以追究
秋，七月，以吏部尚书周闵为左仆射	秋季，七月，东晋朝廷任命吏部尚书周闵为左仆射
或告会稽王昱曰：武陵王第中大修器仗，将谋非常	有人向会稽王司马昱报告说：武陵王司马的宫中大量准备武器，看来将要图谋政变
昱以告太常王彪之，彪之曰：武陵王之志，尽于驰骋畋猎而已耳，深愿静之，以安异同之论，勿复以为言	司马昱把这一消息告诉了太常王彪之，王彪之说：武陵王的志向，全都在驰骋狩猎方面而已，愿您安静下来，以平息各种议论，不要再提这事了
昱善之	司马昱觉得此话有理
秦主生尊母强氏曰皇太后，立妃梁氏为皇后	前秦国主苻生尊奉母亲强氏为皇太后，立妃子梁氏为皇后
梁氏，安之女也	梁氏是梁安的女儿
以其嬖臣太子门大夫南安赵韶为右仆射，太子舍人赵诲为中护军，著作郎董荣为尚书	任命他的宠臣太子门大夫、南安人赵韶为右仆射，太子舍人赵诲为中护军，著作郎董荣为尚书
秦主生封卫大将军黄眉为广平王，前将军飞为新兴王，皆素所善也	前秦国主苻生封卫大将军苻黄眉为广平王，封前将军苻飞为新兴王，这两人都是他平常所喜欢的
征大司马武都王安领太尉	征召大司马武都王苻安兼太尉
以晋王柳为征东大将军、并州牧，镇蒲阪；魏王为镇东大将军、豫州牧，镇陕城	任命晋王苻柳为征东大将军、并州牧，镇守蒲阪，任命魏王苻为镇东大将军、豫州牧，镇守陕城
凉宋混军于武始大泽，为曜灵发哀	前凉宋混的部队驻扎在武始的大湖边，哀悼张曜录
闰月，混军至姑臧，凉王祚收张弟琚及子嵩，将杀之	闰六月，宋混的部队抵达姑臧，前凉王张祚拘捕了张的弟弟张琚及儿子张嵩，准备要杀掉他们
琚、嵩闻之，募市人数百，扬言：张祚无道，我兄大军已至城东，敢举手者诛三族	张琚、张嵩听说后，招募了城里的数百人，公开宣称：张祚无道，我哥哥的大军已抵达城东，敢动手杀我们的人诛灭三族
遂开西门纳混兵	于是打开西城门让宋混的军队进城
领军将军赵长等惧罪，入阁呼张重华母马氏出殿，立凉武侯玄靓为主	领军将军赵长等人因有请立张祚的罪行，十分害怕，他们入宫请张重华的母亲马氏登堂升殿，立凉武侯张玄靓为国主
易揣等引兵入殿，收长等，杀之	易揣等人率兵进入殿堂，拘捕了赵长等人，杀掉了他们
祚按剑殿上，大呼，叱左右力战	张祚在殿堂上扶剑大喊，命令左右的人奋力战斗
祚素失众心，莫肯为之斗者，遂为兵人所杀	张祚平时失掉了民心，这时没有人肯为他去战斗，于是被士兵杀掉
混等枭其首，宣示中外，暴尸道左，城内咸称万岁	宋混等人砍下了他的首级示众，公告宫廷内外，张祚暴尸于路旁，城里的人们都高呼万岁
以庶人礼葬之，并杀其二子	宋混等人把张祚以普通百姓的规格埋葬，并且杀了他的两个儿子
混、琚上玄靓为大将军、凉州牧、西平公，赦境内，复称建兴四十三年	宋混、张琚上书东晋朝廷请立张玄靓为大将军、凉州牧、西平公，在境内实行大赦，纪年恢复为建兴四十三年
时玄靓始七岁	这时张玄靓刚七岁
冬，十月，以豫州刺史谢尚督并、冀、幽三州，镇寿春	冬季，十月，东晋朝廷任命豫州刺史谢尚总督并、冀、幽三州，镇守寿春
秦以辛牢守尚书令，赵韶为左仆射，尚书董荣为右仆射，中护军赵诲为司隶校尉	前秦任命辛牢代理尚书令，任命赵韶为左仆射，尚书董荣为右仆射，中护军赵诲为司隶校尉
上党人冯鸯逐燕太守段刚，据安民城，自称太守，遣使来降	上党人冯鸯赶走了前燕太守段刚，占据了安民城，自称太守，派遣使者来向东晋投降
春，正月，燕太原王恪引兵济河，未至广固百余里，段龛帅众三万逆战	春季，正月，前燕太原王慕容恪率兵渡过了黄河，离广固只有一百多里，段龛率领兵众三万人迎战
丙申，恪大破龛于淄水，执其弟钦，斩右长史袁范等	丙申，慕容恪在淄水大破段龛的部队，抓获段龛的弟弟段钦，杀死右长史袁范等人
齐王友辟闾蔚被创，恪闻其贤，遣人求之，蔚已死，士卒降者数千人	齐国的王友辟闾蔚负伤，慕容恪听说过他的贤明，便派人去寻找他，但辟闾蔚已经死了，段龛士卒中投降的有数千人
龛脱走，还城固守，恪进军围之	段龛逃脱，返回广固城中固守，慕容恪进军将他包围
秦司空王堕性刚峻，右仆射董荣、侍中强国皆以佞幸进，随疾之如雠，每朝，见荣未尝与之言	前秦司空王堕性格刚峻，右仆射董荣、侍中强国都是靠着谄媚得宠而得到提升重用，王堕恨之如仇，每次上朝，见到董荣都不和他搭话
或谓堕曰：董君贵幸无比，公宜小降意接之	有人对王堕说：董君显贵宠幸，无与伦比，您应该稍微抑制一点心意，和他接触
堕曰：董龙是何鸡狗，而令国士与之言乎	王堕说：董荣是什么样的鸡狗之徒，而让国中的贤杰人士和他搭话呢
会有天变，荣与强国言于秦主生曰：今天谴甚重，宜以贵臣应之	恰巧这时天象有变故，董荣与强国便向前秦国主苻生进言说：如今上天的谴责非常严重，应该以显贵的大臣去应接谴责
生曰：贵臣惟有大司马及司空耳	苻生说：显贵的大臣只有大司马和司空而已
荣曰：大司马国之懿亲，不可杀也	董荣说：大司马苻安是王室的至亲，不能杀
乃杀王堕	于是就杀了王堕
将刑，荣谓之曰：今日复敢比董龙于鸡狗乎	在将要行刑的时候，董荣对王堕说：今天还敢把董荣我比作鸡狗吗
堕目叱之	王堕怒目痛斥董荣
洛州刺史杜郁，堕之甥也，左仆射赵韶恶之，谮于生，以为贰于晋而杀之	洛州刺史杜郁，是王堕的外甥，左仆射赵韶厌恶他，就向苻生进谗言，说他和东晋来往，有二心，把他杀死
匈奴大人刘务桓卒，弟阏头立，将贰于代	匈奴首领刘务桓去世，他的弟弟刘阏头即位，准备要背叛代国
二月，代王什翼犍引兵西巡临河，阏头惧，请降	二月，代王拓跋什翼犍率兵西巡到达黄河岸边，刘阏头害怕，便请求投降
燕太原王恪招抚段龛诸城	前燕太原王慕容恪招纳安抚段龛辖境内的各座城邑
己丑，龛所署徐州刺史阳都公王腾举众降，恪命腾以故职还屯阳都	己丑，段龛所设置的徐州刺史、阳都公王腾率领民众投降，慕容恪让王腾以旧有官职的身份回去屯守阳都
桓温请移都洛阳，修复园陵，章十余上；不许	桓温请求东晋朝廷将国都迁移到洛阳，修复帝王的陵墓，奏章递上去十多次，都未获许可
拜温征讨大都督，督司、冀二州诸军事，以讨姚襄	只授予桓温征讨大都督的官职，督察司、冀二州各种军务，用以讨伐姚襄
三月，秦主生发三辅民治渭桥，金紫光禄大夫程肱谏，以为妨农；生杀之	三月，前秦国主苻生调集三辅的百姓去修建渭水桥，金紫光禄大夫程肱对此加以劝谏，认为这样做妨碍农耕，苻生把他杀死
姚襄自许昌攻周成于洛阳	姚襄自许昌进发到洛阳，攻打周成
丙子，燕献怀太子晔卒	丙子，前燕国献怀太子慕容晔去世
姚襄攻洛阳，逾月不克	姚襄攻打洛阳，一个多月也没有攻克
长史王亮谏曰：明公英名盖世，兵强民附	长史王亮劝谏姚襄说：您英名盖世，兵力强盛，民众都来归附
今顿兵坚城之下，力屈威挫，或为他寇所乘，此危亡之道也	如今屯兵于坚固的城池之下，力量受阻，威势受挫，其他敌人或许会利用这个机会，这是走向危险灭亡的道路
襄不从	姚襄没有听从
段龛遣其属段来求救，诏徐州刺史荀羡将兵随救之	段龛派他的属下段来东晋求救，朝廷诏令徐州刺史荀羡统领军队跟随段前去救援
羡至琅邪，惮燕兵之强不敢进	荀羡到达琅邪后，由于害怕前燕兵力的强大而不敢继续前进
王腾寇鄄城，羡进攻阳都，会霖雨，城坏，获腾，斩之	王腾进犯鄄城，荀羡便进攻阳都，这时恰巧碰上连绵大雨，城墙被淋坏，荀羡擒获了王腾，把他杀掉了
冬，十月，癸巳朔，日有食之	冬季，十月，癸巳朔，出现日食
诏遣兼司空、散骑常侍车灌等持节如洛阳，修五陵	东晋穆帝下诏，派兼司空、散骑常侍车灌等人带着符节前往洛阳，修整先帝的五座陵墓
十二月，庚戌，帝及群臣皆服缌，临于太极殿三日	十二月，庚戍，穆帝和群臣全都身穿细麻布衣服，到太极殿哭泣谒拜三天
司州都督谢尚以疾不行，以丹阳尹王胡之代之	司州都督谢尚因为有病无法料理政事，东晋朝廷以丹阳尹王胡之代替他
胡之，之子也	王胡之是王的儿子
春，正月，壬戌朔，帝加元服；太后诏归政，大赦，改元，太后徙居崇德宫	春季，正月，壬戌朔，东晋穆帝行加冠礼，太后下诏，让他开始主持朝政，实行大赦，改年号，太后迁居崇德宫
燕主俊征幽州刺史乙逸为左光禄大夫	前燕国主慕容俊征召幽州刺史乙逸为左光禄大夫
逸夫妇共载鹿车；子璋从数十骑，服饰甚丽，奉迎于道	乙逸夫妇共坐一辆小车前往就任，而他的儿子乙璋却带着随从数十骑，衣着华丽，在路上迎候
逸大怒，闭车不与言，到城，深责之	乙逸十分愤怒，紧闭车门，不和他说话，到了蓟城后，乙逸深深地责备他，乙璋还不认错
璋犹不悛	乙逸常常忧虑他要衰败下去，而乙璋却屡被提升，历任中书令、御史中丞
逸常忧其败，而璋更被擢任，历中书令、御史中丞	乙逸于是便叹息道：我从小修身养性，克己守礼，到头来也只能是得以免罪
逸乃叹曰：吾少自修立，克己守道，仅能免罪	乙璋不检点品行，专干放纵奢侈的事情，反而屡任政事清简地位显赫的官职，这难道仅仅是乙璋有愧于宠幸吗
璋不治节检，专为奢纵，而更居清显，此岂惟璋之忝幸，实时世之陵夷也	实在是世道的衰落
二月，癸丑，燕主俊立其子中山王为太子，大赦，改元光寿	二月，癸丑，前燕国主慕容俊立他的儿子中山王慕容为太子，实行大赦，改年号为光寿
戊寅，燕主俊遣抚军将军垂、中军将军虔、护军将军平熙帅步骑八万攻敕勒于塞北，大破之，俘斩十余万，获马十三万匹，牛羊亿万头	戊寅，前燕国主慕容俊派抚军将军慕容垂、中军将军慕容虔、护军将军慕容平熙率领八万步、骑兵在边境以北攻打敕勒部族，彻底攻破了他们，俘获斩首十多万人，缴获马十三万匹，牛羊亿万头
匈奴单于贺赖头帅部落三万五千口降燕，燕人处之代郡平舒城	匈奴单于贺赖头率领本部落的三万五千人投降了前燕，前燕人把他们安置在代郡的平舒城
燕主俊杀段龛，坑其徒三千余人	前燕国主慕容俊杀掉了段龛，把他的兵众三千多人活埋
秋，七月，秦大将军冀州牧张平遣使请降，拜并州刺史	秋季，七月，前秦大将军冀州牧张平派遣使者到东晋请求投降，朝廷授予他并州刺史官职
八月，丁未，立皇后何氏	八月，丁未，东晋穆帝立何氏为皇后
后，故散骑侍郎庐江何准之女也	何氏皇后，是过去散骑常侍郎庐江人何准的女儿
礼如咸康而不贺	立后礼仪像威康二年那次一样，不加以庆贺
