春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
魏平恩文宣公崔光疾笃，魏主亲抚视之，拜其子励为齐州刺史，为之撤乐，罢游眺	北魏平恩文宣公崔光病重，孝明帝亲自去看望他，任命他的儿子崔励为齐州刺史，并为了他的病而取消音乐，停止游玩
丁酉，光卒，帝临，哭之恸，为减常膳	丁酉，崔光去世，孝明帝临丧，悲痛地哭悼他，并且为此而减少自己正常的饮食
十一月，癸未朔，日有食之	十一月，癸未朔，发生日食
甲辰，尚书左仆射王3117卒	甲辰，梁朝尚书左仆射王3117去世
魏以汝南王悦为太保	北魏任命汝南王元悦为太保
春，正月，辛丑，魏主祀南郊	春季，正月辛丑，北魏孝明帝在南郊祭天
三月，魏以临淮王都督北讨诸军事，讨破六韩拔陵	三月，北魏委任临淮王元都督北讨诸军事，去讨伐破六韩拔陵
壬申，加崇使持节、开府仪同三司、北讨大都督，命抚军将军崔暹、镇军将军广阳王深皆受崇节度	壬申，北魏委任李崇为使持节、开府仪同三司、北讨大都督，命令抚军将军崔暹、镇军将军广阳王元深一并接受李崇指挥调遣
深，嘉之子也	元深是元嘉的儿子
六月，以豫州刺史裴邃督征讨诸军事以伐魏	六月，梁朝委任豫州刺史裴邃负责征讨诸军事，去讨伐北魏
丁酉，魏大赦	丁酉，北魏大赦天下
秋，七月，甲寅，魏遣吏部尚书元义兼尚书仆射，为西道行台，帅诸将讨莫折念生	秋季，七月甲寅，北魏委任吏部尚书元义兼尚书仆射，为西道行台，统率众将去讨伐莫折念生
崔暹违李崇节度，与破六韩拔陵战于白道，大败，单骑走还	崔暹不服从李崇指挥，与破六韩拔陵在白道交战，一败涂地，单人匹马跑了回来
拔陵并力攻崇，崇力战，不能御，引还云中，与之相持	破六韩拔陵集中兵力攻打李崇，李崇全力迎战，但是抵挡不住，便带领部队回到云中，与破六韩拔陵相持
丁丑，莫折念生遣其都督杨伯年攻仇鸠、河池二戍，东益州刺史魏子建遣将军伊祥等击破之，斩首千余级	丁丑，莫折念生派遣他属下的都督杨伯年攻打仇鸠、河池两个寨堡，东益州刺史魏子建派将军伊祥等人击败了杨伯年，斩首一千多人
东益州本氐王杨绍先之国，将佐皆以城民劲勇，二秦反者皆其族类，请先收其器械，子建曰：城民数经行阵，抚之足以为用，急之则腹背为患	东益州本来是氐王杨绍先的封国，将佐们都因为州城中的民众勇悍不驯，南秦州和秦州的反叛者都是杨绍先的同族之人，于是请求要先没收城里人手中的兵器械仗，魏子建说：城中民众数次经历打仗之事，安抚好他们便可为我所用，逼的太急了则会成为我们的心腹之患
乃悉召城民，慰谕之，既而渐分其父兄子弟外戍诸郡，内外相顾，卒无叛者	于是把城中民众都召集起来，安抚晓谕他们，然后逐渐把他们父子兄弟分派到外地各郡去戍守，这样内外相顾，到底也没有出现反叛者
子建，兰根之族兄也	魏子建是魏兰根的族兄
魏凉州幢帅于菩提等执刺史宋颖，据州反	北魏凉州幢帅于菩提等人拘押了刺史宗颖，占据凉州而反
八月，庚寅，徐州刺史成景俊拔魏童城	八月庚寅，梁朝徐州刺史成景俊攻拔北魏的童城
魏员外散骑侍郎李苗上书曰：凡食少兵精，利于速战；粮多卒众，事宜持久	北魏员外散骑侍朗李苗上书说：粮少兵精，利于速战速决；粮多兵众，利于打持久之战
今陇贼猖狂，非有素蓄，虽据两城，本无德义，其势在于疾攻，日有降纳，迟则人情离沮，坐待崩溃	当今陇地贼寇猖狂，但是这些贼寇没有多少粮资储备崐，虽然占据了两座城，但本来没有德义，所以其势在于急攻，以使每日都有所降纳，迟缓了则会使人心离散，情绪颓丧，从而坐待崩溃
夫飚至风举，逆者求万一之功；高壁深垒，王师肯全制之策	飚至风举，逆反者求的是万一之功；高壁深垒，王师有全制之策
但天下久泰，人不晓兵，奔利不相待，逃难不相顾，将无法令，士非教习，不思长久之计，各有轻敌之心	但是天下长久安泰，人们已经不知晓行伍征战了，都变得追逐利益唯恐落后，逃灾避难互不相顾，将帅没有法令，士兵不演习操练，人人不思长远之计，个个都有轻敌之心
如令陇东不守，军败散，则两秦遂强，三辅危弱，国之右臂于斯废矣	如果使陇东失守，地元志的军队败溃，秦州和南秦州莫折念生及张长命等反贼的势力便可强大，那么长安附近顿时就会变得危而又弱，作为国家的右臂于是便废了
宜敕大将坚壁勿战，别命偏裨帅精兵数千出麦积崖以袭其后，则、陇之下，群妖自散	应该旨令主将坚壁而守，不要出战，另外命令副帅偏将率领兵数千名出麦积崖从背后袭击叛贼，如此则、陇之地，群妖自散
东西部敕勒皆叛魏，附于破六韩拔陵，魏主始思李崇及广阳王深之言	东部和西部的敕勒人都反叛了北魏，投附于破六韩拔陵，北魏孝明帝这才开始想到了李崇和广阳王元深曾经说过的话
丙申，下诏：诸州镇军贯非有罪配隶者，皆免为民	丙申，孝明帝诏令：各州镇在册的军人中凡不是因犯罪而被流放服役的，全都免为平民
改镇为州，以怀朔镇为朔州，更命朔州曰云州	改镇为州，以怀朔镇为朔州，又改名朔州为云州
遣兼黄门侍郎郦道元为大使，抚慰六镇	派遣兼黄门侍郎郦道元为大使，让他去安抚宣慰六镇
时六镇已尽叛，道元不果行	当时六镇已经全部反叛，郦道元没有成行
戊戌，莫折念生遣都督窦双攻魏盘头郡，东益州刺史魏子建遣将军窦念祖击破之	戊戌，莫折念生派遣都督窦双攻打北魏盘头郡，东益州刺史魏子建派遣将军窦念祖击败了窦双
九月，戊申，成景俊拔魏睢陵	九月戊申，成景俊攻取了北魏的睢陵
戊午，北兖州刺史赵景悦围荆山	戊午，北兖州刺史赵景悦围困荆山
裴邃帅骑三千袭寿阳，壬戌夜，斩关而入，克其外郭	裴邃率领三千骑兵袭击寿阳，于壬戌夜，攻破城门，攻克了寿阳外城
魏扬州刺史长孙稚御之，一日九战，后军蔡秀成失道不至，邃引兵还	北魏扬州刺史长孙稚抗击裴邃，一天交战了九次，后军蔡秀成迷路而没有赶来，裴邃只好领兵撤返
别将击魏淮阳，魏使行台郦道元、都督河间王琛救寿阳，安乐王鉴救淮阳	梁朝派遣别将攻打北魏淮阳，北魏派遣行台郦道元、都督河间王元琛去援救寿阳，派安乐王元鉴去援救淮阳
鉴，诠之子也	元鉴是元诠的儿子
魏西道行台元义得风疾，不能治军	北魏西道行台元义得了风疾，不能指挥军队了
壬申，魏以尚书左仆射齐王萧宝寅为西道行台大都督，帅诸将讨莫折念生	壬申，北魏任命尚书左仆射齐王萧宝寅为西道行台大都督，令他统率众将去讨攻莫折念生
魏营州城民刘安定、就德兴执刺史李仲遵，据城反	北魏营州城的百姓刘安定、就德兴抓住了刺史李仲遵，占据州城而反
城民王恶儿斩安定以降；德兴东走，自称燕王	城中的百姓王恶儿斩了刘安定而投降，就德兴向东逃跑，自称燕王
胡琛遣其将宿勤明达寇豳、夏、北华三州，魏遣都督北海王颢帅诸将讨之	胡琛派遣手下将领宿勤明达侵扰豳、夏、北华三州，北魏派遣都督北海王元颢统率众将去讨伐
颢，详之子也	元颢是元详的儿子
甲申，彭宝孙拔檀丘	甲申，梁朝彭宝孙攻取了檀丘
辛卯，裴邃拔狄城；丙申，又拔甓城，进屯黎浆	辛卯，又攻取了甓城，进驻黎将
壬寅，魏东海太守韦敬欣以司吾城降	壬寅，北魏东海太守韦敬欣献上司吾城投降
定远将军曹世宗拔曲阳；甲辰，又拔秦墟，魏守将多弃城走	定远将军曹世宗攻取了曲阳；甲辰，又攻下了秦墟，北魏的守将大多数弃城逃跑
魏广阳王深上言：今六镇尽叛，高车二部亦与之同，以此疲兵击之，必无胜理	北魏广阳王元深上书说：如今六镇全都反叛了，高车二部的情况也与六镇相同，以这样的疲劳之兵攻打他们，必定没有取胜的道理
不若选练精兵守恒州诸要，更为后图	所以，不如挑选演练精兵把守恒州的各个要冲之地，再作以后的打算
遂与李崇引兵还平城	于是便与李崇领兵回到了平城
崇谓诸将曰：云中者，白道之冲，贼之咽喉，若此地不全，则并、肆危矣	李崇对众将说：云中是白道的要冲，叛贼的咽喉要害，如果此地保不住，那么并州和肆州就危险了
当留一人镇之，谁可者	所以，应当留下一个人镇守，谁来承当呢
众举费穆，崇乃请穆为朔州刺史	众人推举费穆，李崇便奏请任命费穆为朔州刺史
贺拔度拔父子及武川宇文肱纠合乡里豪杰，共袭卫可孤，杀之；度拔寻与铁勒战死	贺拔度拔父子以及武川人宇文肱纠集乡里的豪杰，一同袭击卫可孤，杀了卫可孤；贺拔度拔不久又与敕勒交战而身亡
肱，逸豆归之玄孙也	宇文肱是宇文逸豆归的玄孙
莫折天生进攻魏岐州，十一月，戊申，陷之，执都督元志及刺史裴芬之，送莫折念生杀之	莫折天生进攻北魏岐州，十一月戊申，攻陷了该城，抓获都督元志以及刺史裴芬之，把他们送给莫折念生，莫折念生杀了他们
念生又使卜胡等寇泾州，败光禄大夫薛峦于平凉东	莫折念生又派卜胡等人入侵泾州，在平凉东边打败了光禄大夫薛峦
峦，安都之孙也	薛峦是薛安都的孙子
丙辰，彭宝孙拔魏东莞	丙辰，彭宝孙攻取了北魏的东莞
壬戌，裴邃攻寿阳之安城，丙寅，马头、安城皆降	壬戌，马头和安城两处都投降了
高平人攻杀卜胡，共迎胡琛	高平人攻打并杀死了卜胡，一起迎接胡琛前来
十二月，戊寅，魏荆山降	十二月戊寅，北魏的荆山城投降
壬辰，魏以京兆王继为太师、大将军，都督西道诸军以讨莫折念生	壬辰，北魏任命京兆王元继为太师、大将军，令他统率西路诸军讨伐莫折念生
魏汾州诸胡反；以章武王融为大都督，将兵讨之	北魏汾州的各部胡人反叛；朝廷委任章武王元融为大都督，率兵去讨伐
魏魏子建招谕南秦诸氐，稍稍降附，遂复六郡十二戍，斩韩祖香	北魏魏子建宣谕招降南秦州各氐族部落，氐人稍微有所归附，于是便恢复了六郡十二戍，斩了韩祖香
魏以子建兼尚书，为行台，刺史如故，梁、巴、二益、二秦诸州皆受节度	北魏任命魏子建兼尚书，担任行台，刺史职务不变，梁、巴、二益、二秦各州都接受他的指挥调遣
莫折念生遣兵攻凉州，城民赵天安复执刺史以应之	莫折念生派兵攻打凉州，凉州城的百姓赵天安再次抓住了州刺史响应莫折念生
是岁，侍中、太子詹事周舍坐事免，散骑常侍钱唐朱异代掌机密，军旅谋议，方镇改易，朝议诏敕皆典之	这一年，梁朝侍中、太子詹事周舍因事获罪而被免职，散骑常侍钱唐人朱异代替了周舍掌管朝廷机密大事，军事方面的出谋划策，以及各州文武长官的任免和朝廷礼仪、诏令等事情也都由他掌管
异好文义，多艺能，精力敏赡，上以是任之	朱异喜好文章、义理，多才多艺，思想敏捷而周密，梁武帝因此而信任他
	六年
春，正月，丙午，雍州刺史晋安王纲遣安北长史柳浑破魏南乡郡；司马董当门破魏晋城，庚戌，又破马圈、阳二城	春季，正月丙午，又攻陷了马圈、阳二城
辛亥，上祀南郊，大赦	辛亥，梁武帝在南郊祭天，大赦天下
魏徐州刺史元法僧，素附元义，见义骄恣，恐祸及己，遂谋反	北魏徐州刺史元法僧，向来依附于元义，他见元义骄横纵恣，害怕祸及己身，于是便谋反
魏遣中书舍人张文伯至彭城，法僧谓曰：吾欲与汝去危就安，能从我乎	北魏派遣中书舍人张文伯到达彭城，元法僧对张文伯说：我想与你去危就安，你能从我吗
文伯曰：我宁死见文陵松柏，安能去忠义而从叛逆乎	张文伯回答说：我宁可死了去见孝崐文帝，怎么能离弃忠义而跟你一块叛逆呢
法僧杀之	元法僧便杀了他
庚申，法僧杀行台高谅，称帝，改元天启，立诸子为王	庚申，元法僧杀了行台高谅，自己称帝，改年号为天启，立几个儿子为王
魏发兵击之，法僧乃遣其子景仲来降	北魏发兵讨伐，元法僧便派他的儿子元景仲来梁朝投降
魏以京兆王继为太尉	北魏任命京兆王元继为太尉
初，魏刘腾既卒，胡太后及魏主左右防卫微缓	早先之时，北魏的刘腾死了之后，胡太后以及北魏孝明帝身边的监视稍微有所松缓
元义亦自宽，时出游于外，留连不返，其所亲谏，义不纳；太后察知之	元义也觉得宽心了不少，便时常出外游玩，留连而不返，他的亲信多次劝谏，但他根本不听；胡太后察知了这一情况
去秋，太后对帝谓群臣曰：今隔绝我母子，不听往来，复何用我为	去年秋天，胡太后当着孝明帝问众臣子们说：现在把我们母子隔绝开来，不允许我们互相往来，那么我还有什么用处呢
我当出家，修道于嵩山闲居寺耳	我应当去出家，去嵩山闲居寺修行当尼姑
因自欲下发；帝及群臣叩头泣涕，殷勤苦请，太后声色愈厉	因此自己便要剃发，孝明帝以及群臣们磕头流泪，哀哀苦求，胡太后言语表情却更加严厉了，执意要出家做尼姑，不肯改变主意
帝乃宿于嘉福殿，积数日，遂与太后密谋黜义	于是孝明帝便住在了嘉福殿，一连住了好几天，同胡太后一起密谋要贬黜元义
然帝深匿形迹，太后有忿恚，欲得往来显阳之言，皆以告义；又对义流涕，叙太后欲出家，忧怖之心日有数四	然而，孝明帝故深匿形迹，没有行动，胡太后也做出特别忿恨的样子，孝明帝便把胡太后想常来显阳殿见自己的话全告诉了元义；孝明帝还流着泪水对元议讲叙了胡太后想出家当尼姑一事，并特意表现出担忧害怕的样子，一天之内便讲了四次
义殊不以为疑，乃劝帝从太后所欲	元义对此毫无所疑，便劝孝明帝顺从胡太后的要求
于是太后数御显阳殿，二宫无复禁碍	于是胡太后数次住宿于显阳殿，两宫之间不再有什么禁限了
义举元法僧为徐州，法僧反，太后数以为言，义深愧悔	元义推荐元法僧出任徐州刺史，元法僧反叛，胡太后数次提到此事，元义因此而深自愧悔
戊戌，魏大赦	戊戌，北魏大赦天下
壬辰，莫折念生遣都督杨等攻仇池郡，行台魏子建击破之	壬辰，莫折念生派遣都督杨等人去攻打仇池郡，行台魏子建击败了他
三月，己酉，上幸白下城，履行六军顿所	三月己酉，梁武帝临幸白下城，步行视察了六军的驻守之地
乙丑，命豫章王综权顿彭城，总督众军，并摄徐州府事	乙丑，梁武帝命令豫章王萧综临时驻扎彭城，总督各路军队，并且兼管徐州府事
己巳，以元法僧之子景隆为衡州刺史，景仲为广州刺史	己巳，梁朝任命元法僧的儿子元景隆为衡州刺史，元景仲为广州策史
上召法僧及元略还建康，法僧驱彭城吏民万余人南渡	梁武帝召元法僧及元略回建康，元法僧驱赶彭城的官员和百姓一万多人南渡
法僧至建康，上宠待甚厚；元略恶其为人，与之言，未尝笑	元法僧到了建康，梁武帝特别宠待他；元略厌恶元法僧的为人，与他说话时，从来没有笑过
魏诏京兆王继班师	北魏诏令京兆王元继班师回朝
北凉州刺史锡休儒等自魏兴侵魏梁州，攻直城	北凉州刺史锡休儒等人从魏兴出发入侵北魏梁州，攻打直城
魏梁州刺史傅竖眼遣其子敬绍击之，休儒等败还	北魏梁州刺史傅竖眼派自己的儿子傅敬绍攻击他们，锡休儒等人败回
柔然王阿那为魏讨破六韩拔陵，魏遣牒云具仁赍杂物劳赐之	柔然国王阿那替北魏征讨破六韩拔陵，北魏派遣牒云具仁送去各种物品慰劳赏赐他们
阿那勒众十万，自武川西向沃野，屡破拔陵兵	阿那率众十万，从武川出发，西进沃野，多次打败破六韩拔陵的军队
夏，四月，魏主复遣中书舍人冯俊劳赐阿那	夏季，四月，北魏孝明帝又派遣中书舍人冯俊去慰劳赏赐阿那
阿那部落浸强，自称敕连头兵豆伐可汗	阿那的部落渐渐强大了起来，便自称为敕连头兵豆伐可汗
胡琛据高平，遣其大将万俟奴、宿勤明达等寇魏泾州，将军卢祖迁、伊瓮生讨之，不克	胡琛占据高平，派遣他的大将万俟奴、宿勤明达等人入侵北魏的泾州，将军卢祖迁、伊瓮生率兵讨伐万俟奴和宿勤明达，未能取胜
萧宝寅、崔延伯既破莫折天生，引兵会祖迁等于安定，甲卒十二万，铁马八千，军威甚盛	萧宝寅、崔延伯击败莫折天生之后，便领兵在安定同卢祖迁会合，会合之后共有兵卒十二万，甲马八千匹，军威甚壮
奴军于安定西北七里，时以轻骑挑战，崐大兵未交，辄委走	万俟奴驻扎在安定西北七里之处，不时地派轻骑挑战，大部队还没有交锋，便退逃
延伯恃其勇，且新有功，遂唱议先驱击之	崔延伯依恃自己勇武，而且新近有功，于是便提议要担任先锋去进攻万俟丑奴
别造大盾，内为锁柱，使壮士负以趋，谓之排城，置辎重于中，战士在外，自安定北缘原北上	崔延伯又另外造了大盾，里面置有锁柱，让壮士们抬着前进，叫做排城，辎重放在里面，战十们在外面，从安定北边沿塬北上
将战，有贼数百骑诈持文书，云是降簿，且乞缓师	将要开战之时，有数百名敌人的骑兵持着诈称为投降名册的信件来到近前，并且乞求崔延伯暂缓进攻
宝寅、延伯未及阅视，宿勤明达引兵自东北至，降贼自西竞下，覆背击之，延伯上马奋击，逐北径抵其营	萧宝寅、崔延伯还没有来得及阅看，宿勤明达便带兵从东北方向到了，而那些诈降的骑兵却从西边争相冲下来，由背后发起了进攻，崔延伯跃身上马奋力拼杀，一直追击到敌人的营盘之下
贼皆轻骑，延伯军杂步卒，战久疲乏，贼乘间得入排城；延伯遂大败，死伤近二万人，宝寅收众，退保安定	敌人全是骑兵，而崔延伯的军队中却杂有不少步兵，作战时间长了人员疲乏，敌人便乘机进入了排城；于是崔延伯一败涂地，死伤了近两万人，萧宝寅收拢残部，退守安定
延伯自耻其败，乃缮甲兵，募骁勇，复自安定西进，去贼七里结营	崔延伯因失败而感到耻辱，便修缮兵器，招募骁勇之士，再从安定向西进发，在离敌营七里远近的地方安营扎寨
壬辰，不告宝寅，独出袭贼，大破之，俄顷，平其数栅	壬辰，崔延伯没有报告萧宝寅，便独自出发袭击敌营，大败敌人，转眼之间，敌人的数座栅垒便被夷平
贼见军士采掠散乱，复还击之，魏兵大败，延伯中流矢卒，士卒死者万余人	敌人见崔延伯的将士们抢掠财物乱作一团，便又回过头来还击，北魏军队大败，崔延伯中了流箭而身亡，兵卒死者达一万多人
时大寇未平，复失骁将，朝野为之忧恐	其时，强寇未平反而却失去了一员骁将，北魏朝野因此而忧恐不安
于是贼势愈盛，而群臣自外来者，太后问之，皆言贼弱，以求悦媚，由是将帅求益兵者往往不与	于是敌人的凶焰更加炽盛了，然而回到朝廷中的臣子们，每当胡太后问到讨征情况时，他们都说贼兵力量微弱，不足为虑，以此而讨好、取悦于胡太后，因此将帅们向朝廷请求增兵，往往不给
魏魏昌武康伯李崇卒	北魏魏昌武康伯李崇去世
癸未，魏大赦，改元孝昌	癸未，北魏大赦天下，改年号为孝昌
冬，十月，吐谷浑遣兵击赵天安，天安降，凉州复为魏	冬季，十月，吐谷浑派兵攻打赵天安，赵天安投降，凉州复为北魏所有
春季，正月辛丑朔，梁朝大赦天下	壬子，魏以汝南王悦领太尉
夏季，四月乙酉，梁朝临川靖惠王萧宏去世	魏大赦
戊申，北魏燕州刺史崔秉率领众人弃城投奔定州	乙丑，魏以安西将军宗正珍孙为都督，讨汾州反胡
杜洛周派遣都督曹纥真等人率兵掠夺蓟南，秋季，七月丙午，行台常景派遣都督于荣等人在栗园攻击曹纥真等人，大败敌人，斩了曹纥真以及将卒三千多名	魏仆射元纂以行台镇恒州
杜洛周率众南去范阳，常景同于荣等人又击败了杜洛周	鲜于阿胡拥朔州流民寇恒州，戊申，陷平城，纂奔冀州
梁武帝得知淮河堰堤水很大，寿阳城差不多淹没了，便再次派遣郢州刺史元树等人从北道攻打黎浆，派豫州刺史夏侯等人从南道攻打寿阳	八月，癸巳，贼帅元洪业斩鲜于礼，请降于魏；贼党葛荣复杀洪业自立
八月癸巳，强盗首领元洪业斩了鲜于礼，请求投降北魏	魏安北将军、都督恒·朔讨虏诸军事尔朱荣过肆州，肆州刺史尉庆宾忌之，据城不出
强盗同伙葛荣又杀了元洪业而自任头领	荣怒，举兵袭肆州，执庆宾，还秀容，暑其从叔羽生为刺史，魏朝不能制
甲申，北魏行台常景击败了杜洛周，斩杀杜洛周手下的武川王贺拔文兴等人，捕获了四百人	就德兴陷魏平州，杀刺史王买奴
杜洛周围攻范阳，戊戌，范阳百姓抓住了北魏幽州刺史王延年、行台常景，把他们送给杜洛周，杜洛周开门接纳了他们	魏齐州平原民刘树等反，攻陷郡县，频败州军，刺史元欣以平原房士达为将，讨平之
春季，正月，乙丑，梁朝任命尚书左仆射徐勉为仆射	辛未，上祀南郊
辛未，梁武帝在南郊祭天	甲戌，魏以司空皇甫度为司徒，仪同三司萧宝寅为司空
戊子，北魏任命皇甫度为太尉	己丑，魏主以四方未平，诏内外戒严，将亲出讨，竟亦不行
梁朝谯州刺史湛僧智围攻北魏东豫州，将军彭群、王辩围攻琅邪，北魏朝廷命令青、南青两州援救琅邪	魏东清河郡山贼群起，诏以齐州长史房景伯为东清河太守
司州刺史夏侯夔率领壮武将军裴之礼等人出义阳道，攻打北魏的平静、穆陵、阴山三关，都攻下来了	郡民刘简虎尝无礼于景伯，举家亡去，景伯穷捕，禽之，置其子为西曹掾，令谕山贼
夏侯夔是夏候的弟弟；裴之礼是裴邃的儿子	贼以景伯不念旧恶，皆相帅出降
二月，秦地的贼寇占据了北魏潼关	庚申，魏东郡民赵显德反，杀太守裴烟，自号都督
北魏齐州广川的平民刘钧聚众造反，自任大行台；清河的百姓房项自任大都督，占据了昌固城	夏，四月，魏将元斌之讨东郡，斩赵显德
元显伯在夜间逃遁，梁军追击他，斩俘人数以万计数	领军曹仲宗、东宫直陈庆之攻魏涡阳，诏寻阳太守韦放将兵会之
梁武帝诏令任命湛僧智兼任东豫州刺史，镇守广陵	魏散骑常侍费穆引兵奄至，放营垒未立，麾下止有二百余人，放免胄下马，据胡床处分，士皆殊死战，莫不一当百，魏兵遂退
夏侯夔领兵屯驻安阳，派别将攻破了楚城并屠杀了全城军民，从此义阳北道便从北魏分割出来了	放，睿之子也
领军曹仲宗、东宫直陈广之攻打北魏涡阳，梁武帝诏令寻阳太守韦放率兵去与曹仲宗等会合	萧宝寅之败于泾州也，或劝之归罪洛阳，或曰：不若留关中立功自效
北魏散骑常侍费穆带兵突然来到，韦放的营垒还没有建好，麾下只有二百余人，韦放脱掉盔甲而下马，坐在胡床上安排布置，兵士们都殊死奋战，人人以一当百，北魏来兵便撤退了	行台都令史河间冯景曰：拥兵不还，此罪将大
韦放是韦睿的儿子	宝寅不从，自念出师累年，糜费不赀，一旦覆败，内不自安；魏朝亦疑之
秦州百姓骆超杀了杜粲，请求投降北魏	春，正月，癸亥，魏以北海王颢为骠骑大将军、开府仪同三司、相州刺史
三月癸未，葛荣攻陷北魏的沧州，抓获了刺史薛庆之，平民被杀的占十之八九	乙酉，魏葬孝明皇帝于定陵，庙号肃宗
庚戌，北魏孝庄帝赐封尔朱荣的儿子尔朱义罗为梁郡王	柔然头兵可汗数入贡于魏，魏诏头兵赞拜不名，上书不称臣
秋季，七月乙丑，北魏加封尔朱荣为柱国大将军、录尚书事	壬子，魏光州民刘举聚众反于濮阳，自称皇武大将军
北魏派遣征虏将军韩子熙招降邢杲，邢杲诈降，随后便又反叛了	魏费穆奄至荆州
李叔仁在惟水攻击邢杲，结果未能成功，只好退回	曹义宗军败，为魏所擒，荆州之围始解
戊寅，北魏任命上党王元天穆为大将军、开府仪同三司，世袭并州刺史	十二月，庚子，魏诏于晖还师讨邢杲
春季，正月甲寅，北魏于晖的部下、都督彭乐率二千余骑兵反叛，投奔了韩楼，于晖只好回师	辛酉，上祀南郊，大赦
辛酉，梁武帝在南郊祭天，大赦天下	甲子，魏汝南王悦求还国，许之
甲子，原北魏汝南王元悦请求梁武帝允许他回到北魏，梁武帝答应了他的请求	辛巳，上祀明堂
辛丑，北魏上党王元天穆和尔朱兆在济南打败了邢杲，邢杲投降，被押送至洛阳，斩了首	五月，丁巳，魏以东南道大都督杨昱镇荥阳，尚书仆射尔朱世隆镇虎牢，侍中尔朱世承镇
尔朱兆是尔朱荣的侄子	乙丑，内外戒严
辛亥，北魏淮阴太守晋鸿献出湖阳城投降梁朝	闰月，己未，南康简王绩卒
北魏任命原先的司空萧赞为司徒	十一月，己卯，就德兴请降于魏，营州平
十一月，己卯，就德兴向北魏请降，营州平定	丙午，魏以城阳王徽为太保，丹杨王萧赞为太尉，雍州刺史长孙稚为司徒
丙午，北魏任命城阳王元徽为太保，丹扬王萧赞为太尉，雍州刺史长孙稚为司徒	十二月，辛亥，兖州刺史张景邕、荆州刺史李灵起、雄信将军萧进明叛，降魏
北魏委任岐州刺史王罴代理南秦州的军政事务，王罴诱捕南秦州境内的群盗，全部杀掉了他们	春，正月，己丑，魏益州刺史长孙寿、梁州刺史元俊等遣将击严始欣，斩之，萧玩等亦败死，失亡万余人
春季，正月，己丑，北魏益州刺史长孙寿、梁州刺史元俊等派将领攻打严始欣，将其斩首，萧玩等也战败而死，逃失走散一万余人	辛亥，魏东徐州城民吕文欣等杀刺史元大宾，据城反，魏遣都官尚书平城樊子鹄讨之；二月，甲寅，斩文欣
六月，丁巳，梁武帝又加封原北魏汝南王元悦为魏王	戊寅，魏诏胡氏亲属受爵于朝者皆黜为民
戊寅，北魏孝庄帝下诏，凡胡氏家族的亲属在朝廷受过爵位的一律罢黜为平民	庚申，以魏降将范遵为安北将军、司州牧，从魏王悦北还
北魏荆州刺史李琰之，是李韶的族弟	魏王悦改元更兴，闻尔朱兆已入洛，自知不及事，遂南还
南阳太守赵延，因李琰之是孝庄帝的外戚，于是便诬称李琰之想投奔梁朝，发兵袭击荆州，抓获了李琰之，赵延自己掌管州政事务	斛斯椿复弃悦奔魏
癸丑，北魏任命高欢为大都督、东道大行台、冀州刺史，又任命安定王尔朱智虎为肆州刺史	魏尔朱天光出夏州，遣将讨宿勤明达，癸亥，擒明达，送洛阳，斩之
北魏尔朱天光出兵夏州，调兵遣将征讨宿勤明达，癸亥，擒获了宿勤明达，将他送到洛阳后处斩	丙寅，魏以侍中、骠骑大将军尔朱彦伯为司徒
丙寅，北魏任命侍中、骠骑大将军尔朱彦伯为司徒	魏诏有司不得复称伪梁
北魏下诏命令有关部门不得再称梁为伪梁	五月，丙子，魏荆州城民斩赵延，复推李琰之行州事
五月，丙子，北魏荆州城百姓斩杀了赵延，又推举李琰之代行州政	魏尔朱仲远使都督魏僧勖等讨崔祖螭于东阳，斩之
癸巳，北魏国主元恭追尊其父广陵惠王元羽为先帝，追尊其母王氏为先太妃，加封弟弟元永业为高密王，儿子元恕为勃海王	冬，十月，己酉，上幸同泰寺，升法坐，讲《涅经》，七日而罢
十一月，乙未，梁武帝临幸同泰寺，向僧众宣讲《般若经》，持续了七天才结束	庚辰，魏高欢引兵攻邺，相州刺史刘诞婴城固守
梁武帝任命太子右卫率薛法护为司州牧，派他护送魏王元悦到洛阳	庚午，立太子纲之长子大器为宣城王
乙巳，梁朝任命司空袁昂兼任尚书令	冬，十一月，丁酉，日南至，魏主祀圜丘
冬季，十一月，丁酉，这天是冬至，北魏孝武帝在圜丘祭天	甲辰，魏杀安定王朗、东海王晔
甲辰，北魏杀安定王元朗和东海王元晔	己酉，以汝南王悦为侍中、大司马
己酉，北魏朝廷任命汝南王元悦为侍中、大司马	魏葬灵太后胡氏
北魏为灵太后胡氏举行葬礼	上闻魏室已定，十二月，庚辰，复以太尉元法僧为郢州刺史
梁武帝听说北魏朝廷已经安定，十二月，庚辰，再次任命太尉元法僧为郢州刺史	魏主以汝南王悦属近地尊，丁亥，杀之
北魏孝武帝因汝南王元悦与自己亲属关系近而且地位又高，丁亥，杀了元悦	魏大赦，改元永兴，以与太宗同号，复改永熙
北魏罢免了各位行台	辛亥，上祀明堂
辛亥，梁武帝在明堂举行祭祀典礼	丁巳，魏主追尊其父为武穆帝，太妃冯氏为武穆后，母李氏为皇太妃
丁巳，北魏国主孝武帝分别追认他的父亲为武穆帝，太妃冯氏为武穆后，母亲李氏为皇太妃	劳州刺史曹凤、东荆州刺史雷能胜等举城降魏
