初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
是日，皆自杀	当天，两位皇后都自杀子
戊午，右将军王崇为大司空，光禄勋东海马宫为右将军，左曹、中郎将甄丰为光禄勋	戊午，任命右将军王崇为大司空，光禄勋、东海人马宫为右将军，左曹、中郎将甄丰为光禄勋
九月，辛酉，中山王即皇帝位，大赦天下	九月，辛酉，中山王刘箕子即帝位，大赦天下
冬，十月，壬寅，葬孝哀皇帝于义陵	冬季，十月，壬寅，将孝哀皇帝安葬在义陵
	孝平皇帝上元始元年
置羲和官，秩二千石	设置羲和官，官秩为二千石
夏，五月，丁巳朔，日有食之	夏季，五月，丁巳朔，出现日食
大赦天下	大赦天下
公卿以下举敦厚能直言者各一人	让公卿及以下官员举荐：敦厚和直言各一名
秋，九月，赦天下徒	秋季，九月，赦免天下囚犯
	二年
春，黄支国献犀牛	春季，黄支国贡献犀牛
黄支在南海中，去京师三万里	黄支国在南海，距京师三万里
王莽欲威德，故厚遗其王，令遣使贡献	王莽想要炫耀他的威望和盛德，所以先向黄支国王赠送厚重的礼物，让国王派遣使节到长安贡献
帝更名	平帝改名为刘
三月，癸酉，大司空王崇谢病免，以避王莽	三月，癸酉，大司空王崇为了避开王莽，称病要求辞职，被免去官职
六月，陨石于钜鹿二	六月，两颗陨石坠落在钜鹿
光禄大夫楚国龚胜、太中大夫琅邪邴汉以王莽专政，皆乞骸骨	光禄大夫楚国人龚胜、太中大夫琅邪人邴汉，因为王莽专权，都请求辞职退休
莽令太后策诏之曰：朕愍以官职之事烦大夫，大夫其修身守道，以终高年	王莽教太后下策书诏令他们说：朕不忍心用官职上的事务烦扰两位大夫，你们就好自为之，修养品德，严守正道，以终高年吧
皆加优礼而遣之	对他们都给予优厚的待遇，遣送回家
梅福知王莽必篡汉祚，一朝弃妻子去，不知所之	梅福知道王莽必定要篡夺汉朝皇位，有一天，忽然抛弃妻子而走开，不知到什么地方去了
其后，人有见福于会稽者，变姓名为吴市门卒云	以后，有人在会稽看见了他，他已改换姓名，当吴城市场的守门卒了
秋，九月，戊申晦，日有食之，赦天下徒	秋季，九月，戊申晦，出现日食，赦免天下囚犯
遣执金吾候陈茂谕说江湖贼成重等二百余人皆自出，送家所在收事	派遣执金吾候陈茂，劝说江湖盗匪成重等二百余人投降，使盗匪全部出来自首，把他们送回各自家乡，为当地官府供应劳役
重徙云阳，赐公田宅	成重则迁移安顿在云阳，赐给他公田和屋宅
王莽欲悦太后以威德至盛，异于前，乃风单于令遣王昭君女须卜居次云入侍太后，所以赏赐之甚厚	王莽想显示太皇太后的威望和恩德已达至盛，超过了前代，以此取悦于太皇太后，就暗示单于，让单于派遣王昭君的女儿须卜居次云到长安侍奉太后，因此而给予单于的赏赐非常丰厚
大司徒司直陈崇使张敞孙竦草奏，盛称安汉公功德，以为：宜恢公国令如周公，建立公子令如伯禽，所赐之品亦皆如之，诸子之封皆如六子	大司徒司直陈崇，命张敞的孙儿张竦起草奏章，歌颂王莽的功德，说：应该扩大安汉公的封国，让他象周公一样；赐封安汉公的长子，让他象伯禽一样，赏赐的等级也完全相同
太后以示群公	其他儿子的封赏，都像周公的六个儿子一样
群公方议其事，会吕宽事起	太皇太后王政君把奏章交给大臣们看，大臣们正在讨论这件事，恰巧吕宽事件发生了
春，正月，郊祀高祖以配天，宗祀孝文以配上帝	春季，正月，平帝在长安郊外用祭祀天地之礼祭祀高祖，以配享上天；在明堂用祭祀祖宗之礼祭祀文帝，以配享上帝
改殷绍嘉公曰宋公，周承休公曰郑公	改封殷绍嘉公为宋公、周承休公为郑公
诏：妇女非身犯法，及男子年八十以上、七岁已下，家非坐不道、诏所名捕，他皆无得系；其当验者即验问	平帝下诏：妇女除非本人犯法，以男子八十岁以上、七岁以下，其家除非被指控为大逆不道，或朝廷指名逮捕，一概不准囚禁
定著令	必须调查时，官员应到妇女或老幼所住的地方调查，本诏书自即日起成为法律
二月，丁未，遣大司徒宫、大司空丰等奉乘舆法驾迎皇后于安汉公第，授皇后玺绂，入未央宫	二月丁未，派大司徒马宫、大司空甄丰等，带着御用车轿跟皇家仪仗队，前往安汉公王莽家宅，迎接王莽的女儿，呈上皇后印信，将她载回未央宫
大赦天下	大赦天下
遣太仆王恽等八人各置副，假节，分行天下，览观风俗	派太仆王恽等八人为使节，各人再设副手，持节，分别巡视全国各地，考察社会风俗
莽奏起明堂、辟雍、灵台，为学者筑舍万区，制度甚盛	王莽提议兴建明堂、辟雍和灵台，给学者建筑宿舍一万间，规模十分宏伟
立《乐经》；益博士员，经各五人	在太学设立《乐经》课程，并增加博士名额，每一经各五人
征天下通一艺、教授十一人以上，及有逸《礼》、古《书》、天文、图谶、钟律、《月令》、《兵法》、《史篇》文字，通知其意者，皆诣公车	征求全国精通一经，而且教授弟子十一人以上的经师，以及藏有散失的《礼经》、古文《尚书》、天文、图谶、音乐、《月令》、《兵法》、《史籀篇》文字，通晓它们意义的人，都前往公车衙门
网罗天下异能之士，前后至者千数，皆令记说廷中，将令正乖谬，壹异说云	收罗全国具有卓越才能的士人，来到京师的前后数以千计，都让他们到朝廷上记录他们的学说，打算让他们订正流传的错误，统一各种分歧的说法
分京师置前辉光、后丞烈二郡	分割京师长安，设置前辉光郡、后丞烈郡
更公卿、大夫、八十一元士官名、位次及十二州名、分界	更改公卿、大夫、八十一元士官名、等级以及十二州州名、分界
郡国所属，罢置改易，天下多事，吏不能纪矣	更改各郡、各封国的管辖区域，或取消崐，或新设，或变更，从此天下事端增多，官吏记不胜记
	五年
安汉公又奏复长安南、北郊	安汉公王莽再奏请：恢复长安南郊祭天，北郊祭地大典
三十余年间，天地之祠凡五徙焉	三十余年间，祭祀天地的地方已经变更了五次
莽又奏为市无二贾，官无狱讼，邑无盗贼，野无饥民，道不拾遗，男女异路之制；犯者象刑	王莽又奏报说，做买卖没有两样价格，官府没有诉讼案件，城市没有盗贼，乡野没有饥民，大路上没有人拾取丢下的财物，实行男女不一同走路的制度，对于违犯者处予象征性刑罚
莽以皇后有子孙瑞，通子午道，从杜陵直绝南山，径汉中	王莽因皇后有了生男育女的吉兆，修通子午道，从杜陵县穿过终南山，直通汉中郡
泉陵侯刘庆上书言：周成王幼小，周公居摄	泉陵侯刘庆上书：周成王年龄幼小，由周公居位摄政
今帝富于春秋，宜令安汉公行天子事，如周公	当今圣上年龄还轻，应当让安汉公代行天子的职务，象周公一样
郡臣皆曰：宜如庆言	群臣都说：应当照刘庆所说的办
以长乐少府平晏为大司徒	任命长乐少府平晏当大司徒
太后与群臣议立嗣	太皇太后与文武百官，商议遴选继任皇帝
时元帝世绝，而宣帝曾孙有见王五人，列侯四十八人，莽恶其长大，曰：兄弟不得相为后	这时元帝的后代断绝了，而宣帝的曾孙有为王的五人，为列侯的四十八人，王莽厌恶他们已经长大，便说：兄弟之间不能互相作为后代
乃悉征宣帝玄孙，选立之	于是全部征召宣帝玄孙，逐一选择
三月，己丑，立宣帝玄孙婴为皇太子，号曰孺子	三月己丑册立宣帝玄孙刘婴作皇太子，称号叫作孺子
婴，广戚侯显之子也	刘婴是广戚侯刘显的儿子，年仅二岁
年二岁；托以卜相最吉，立之	王莽声称，卜卦的结果，认为他最吉利，所以才册立
尊皇后曰皇太后	尊王皇后为皇太后
冬，十月，丙辰朔，日有食之	冬季，十月丙辰朔，出现日食
十二月，群臣奏请以安汉公庐为摄省，府为摄殿，第为摄宫	十二月，群臣上书，请把安汉公在皇宫中的处所称为摄省，官署称为摄殿，住宅称为摄宫
奏可	奏章被批准了
是岁，西羌庞恬、傅幡等怨莽夺其地，反攻西海太守程永；永莽走	这一年，西羌庞恬和傅幡等人怨恨王莽夺取他们的土地，反攻西海郡太守程永，程永逃跑
莽诛永，遣护羌校尉窦况击之	王莽处死了程永，派遣护羌校尉窦况进击西羌
	二年
春，窦况等击破西羌	春季，窦况等人打败了西羌
春，地震	春季，发生地震
大赦天下	大赦天下
九月，莽母功显君死	九月，王莽的母亲功显君去世
莽自以居摄践阼，奉汉大宗之后，为功显君缌弁而加麻环，如天子吊诸侯服	王莽自以为他代理皇位，登上宫廷的宝座，尊奉汉室大宗的后嗣，于是为功显君守五服中最轻的缌麻服，在细麻布帽上面加上用麻环绕而成的孝带，如同天子吊唁诸侯的丧服
凡壹吊再会；而令新都侯宗为主，服丧三年云	总共一次吊唁，两次会祭，让新都侯王宗为丧主，由他守三年的丧服
期门郎张充等六人谋共劫莽，立楚王	期门郎张充等六人策划一道劫持王莽，拥立楚王作皇帝
发觉，诛死	被发觉后处死
春，正月，朔，莽帅公侯卿士奉皇太后玺上太皇太后，顺符命，去汉号焉	春季，正月朔，王莽率领公侯卿士捧着新制的皇太后御玺，呈上太皇太后，遵从上天的符命，去掉汉朝的名号
莽又封黄帝、少昊、颛顼、帝喾、尧、舜、夏、商、周及皋陶、伊尹之后皆为公、侯，使各奉其祭祀	王莽又赐封黄帝、少昊、颛顼、帝喾、尧、舜、夏、商、周及皋陶、伊尹的后代都为公、侯，使他们各自奉行对自己祖先的祭祀
夏，四月，徐乡侯刘快结党数千人起兵于其国	夏季，四月间，徐乡侯刘快集结党羽几千人，在他的封国里起兵
快兄殷，故汉胶东王，时为扶崇公	刘快的哥哥刘殷，是原汉朝的胶东王，这时已经改为扶崇公
快举兵攻即墨，殷闭城门，自系狱	刘快集结兵力，进攻即墨城，刘殷关闭城门，自投监狱
吏民距快；快败走，至长广死	官民抵抗刘快，刘快失败逃跑，退到长广县死了
莽赦殷，益其国满万户，地方百里	王莽赦免刘殷，增加他的封国达一万户人家，面积方圆一百里
冬，雷，桐华	冬季，响雷，桐树开花
又遣谏大夫五十人分铸钱于郡国	王莽派遣又谏大夫五十人，分别到各郡、各封国铸钱
是岁，真定、常山大雨雹	这一年，真定、常山天降大冰雹
	二年
春，二月，赦天下	春季，二月，大赦天下
五威将帅七十二人还奏事，汉诸侯王为公者悉上玺绶为民，无违命者	五威将帅七十二人回来奏报，汉朝的诸侯王去掉王号改称为公的，全部缴上印信成为平民，没有违抗命令的
独故广阳王嘉以献符命，鲁王闵以献神书，中山王成都以献书言莽德，皆封列侯	只有原广阳王刘嘉因向王莽呈献符命，鲁王刘闵因向王莽呈献神书，中山王刘成都因向王莽呈书歌颂功德，都封为列侯
十二月，雷	十二月，响雷
莽以钱币讫不行，复下书曰：宝货皆重则小用不给，皆轻则僦载烦费；轻重大小各有差品，则用便而民乐	王莽因为钱币一直不流通，又下诏说：钱币都是大面额，则不能应付小额交易；钱币都是小面额，则运输装载就麻烦费事
于是更作金、银、龟、贝、钱、布之品，名曰宝货	轻重大小各有等级，那么使用方便，百姓就欢迎
钱货六品，金货一品，银货二品，龟货四品，贝货五品，布货十品，凡宝货五物、六名、二十八品	于是，更铸宝币六种：金币、银币、龟币、贝币、钱币、布币
铸作钱布	其中钱币六种，金币一种，银币二种，龟币四种，贝币五种崐，布币十种
皆用铜，淆以连、锡	总计，货币共有五类、六种名称，二十八个等级
百姓溃乱，其货不行	钱币、布币都用铜铸作，其中混杂铅锡
莽知民愁，乃但行小钱直一与大钱五十，二品并行；龟、贝、布属且寝	因为货币的种类太多，百姓生活陷于混乱，货币不能流通
盗铸钱者不可禁，乃重其法，一家铸钱，五家坐之，没入为奴婢	王莽了解人民的怨愁，于是只使用值一钱的小钱和值五十的大钱，两种并行，龟币、贝币、布币暂且停止使用
吏民出入持钱，以副符传，不持者厨传勿舍，关津苛留	私自铸钱的无法禁止，便加重那方面的刑罚，一家铸钱，邻居五家连坐，将这些人送到官府作奴婢
公卿皆持以入宫殿门，欲以重而行之	官吏和平民外出要携带钱币作为通行副证，不携带的人，旅舍不允许住宿，关卡和渡口要盘问留难，公卿大臣都要携带它才能进入宫殿大门，想要用这样的办法提高它的身价从而得以流通
是时百姓便安汉五铢钱，以莽钱大小两行，难知，又数变改，不信，皆私以五铢钱市买；讹言大钱当罢，莫肯挟	当时，百姓认为汉五铢钱方便适用，而王莽钱因有大有小，两种钱同时发行，难以分辨，并且不断变化，所以不信任它，都私下用五铢钱在市场上购买商品，并谣传说大钱会废除，没有人肯于挟带
莽患之，复下书：诸侠五铢钱、言大钱当罢者，比非井田制，投四裔	王莽深感烦恼，再下诏书：凡是挟带五铢钱，说大钱要废除的人，比照诽谤井田制罪状，放逐到四方边远地区
及坐卖买田宅、奴婢、铸钱，自诸侯、卿大夫至于庶民，抵罪者不可胜数	连同被指控买卖田宅、买卖奴婢、盗铸钱币的人，从封国国君、朝廷官员到平民，犯法的人不计其数
于是农商失业，食货俱废，民人至涕泣于市道	于是农民、商人失业，全国经济崩溃，百姓甚至在街市道路上哭泣
遣田禾将军赵并发戍卒屯田五原、北假，以助军粮	新朝朝廷派田禾将军赵并，征发边防兵士在五原、北假一带，开荒屯垦，补助军粮
太师王舜自莽篡位后，病悸剧，死	太师王舜自王莽篡夺皇位后，得了心悸病，渐渐加剧，终于病故
是岁，濒河郡蝗生	本年，濒临黄河的各郡，发生蝗虫灾害
河决魏郡，泛清河以东数郡	黄河在魏郡决口，在清河以东数郡泛滥成灾
先是，莽恐河决为元城冢墓害；及决东去，元城不忧水，故遂不堤塞	最初，王莽害怕黄河决口淹没元城王姓皇族祖宗坟墓，及至黄河决口向东泛滥，元城没有水患，所以决定不堵塞河堤
	四年
春，二月，赦天下	春季，二月，大赦天下
大司马甄邯死	大司马甄邯去世
十一月，彗星出；二十余日，不见	十一月间，彗星出现，经过二十多天，消失
是岁，以挟铜炭者多，除其法	这一年，由于私挟铜炭的人太多，废除了该项法令
凶奴乌珠留单于死，用事大臣右骨都侯须卜当，即王昭君女伊墨居次云之婿也	匈奴乌珠留若单于去世，当权大臣右骨都侯须卜当，正是王昭君的女儿伊墨居次栾提云的丈夫
云常欲与中国和亲，又素与伊栗置支侯咸厚善，见咸前后为莽所拜，故遂立咸为乌累若单于	栾提云时常打算跟中国和亲，又一向与栗置支侯栾提咸友善，看到栾提咸曾经被王莽封作孝单于，于是拥立栾提咸为乌累若单于
乌累单于咸立，以弟舆为右谷蠡王	乌累单于栾提咸即位后，封弟弟栾提舆当右谷蠡王
乌珠留单于子苏屠胡本为左贤王，后更谓之护于，欲传以国	乌留珠单于的儿子栾提苏屠胡，本封左贤王，后来把左贤王改称护于，打算把单于的宝座传给他
咸怨乌珠留单于贬己号，乃贬护于为左屠耆王	栾提咸怨恨乌留珠单于贬低自己的称号，就把护于栾提苏屠胡贬作左屠耆王
	天凤元年
春，正月，赦天下	春季，正月，大赦天下
夏，四月，陨霜杀草木，海濒尤甚	夏季，四月间，降了霜，冻死了草木，沿海尤其厉害
六月，黄雾四塞	六月间，黄雾弥漫
秋，七月，大风拔树，飞北阙直城门屋瓦	秋季七月间，大风拔起树木，刮走了北阙直城门屋上的瓦
雨雹，杀牛羊	落下冰雹，打死了牛羊
益州蛮夷愁扰，尽反，复杀益州大尹程降	益州蛮夷因忧愁而骚扰，同时叛乱，击杀益州大尹程降
莽遣平蛮将军冯茂发巴、蜀、犍为吏士，赋敛取足于民，以击之	王莽派遣平蛮将军冯茂调发巴郡、蜀郡、犍为郡等地方官兵，粮秣军饷直接向百姓征收，进击益州郡叛乱民众
春，二月，大赦天下	春季，二月，大赦天下
民讹言黄龙堕死黄山宫中，百姓奔走往观者有万数	民间谣传有黄龙摔死在黄山宫中，老百姓奔走前往看热闹的有一万人之多
莽恶之，捕系，问所从起；不能得	王莽讨厌这件事，拘捕了一些人讯问谣言从哪里传起，没能找到
邯郸以北大雨，水出，深者数丈，流杀数千人	邯郸以北地区降了大雨，地下水涌出，水深的地方有几丈深，冲走淹死几千人
春，二月，乙酉，地震，大雨雪；关东尤甚，深者一丈，竹柏或枯	春季，二月乙酉，发生地震，天降大雪，关东地区尤其厉害，雪深的地方有丈把深，竹子、柏树有的枯死了
大司空王邑上书，以地震乞骸骨	大司空王邑上书，以地震为由，请求退休
莽不许，曰：夫地有动有震，震者有害，动者不害	王莽不准，说：大地有震有动，震有害而动无害
《春秋》记地震，《易·系》坤动；动静辟翕，万物生焉	《春秋》记载地震，《易经·系辞上传》只说地动，动的时候就张开，静的时候就合拢，万物由此发生
其好自诬饰，皆此类也	王莽喜爱自我欺骗掩饰，都是此类
戊辰，长平馆西岸崩，壅泾水不流，毁而北行	戊辰，长平馆西岸坍塌，把泾河水流阻塞，河水决口向北流去
群臣上寿，以为《河图》所谓以土填水，匈双灭亡这祥也	群臣向王莽祝贺，认为这就是《河图》所说的用土去镇服水，是匈奴灭亡的好兆头
莽乃遣并州牧宋弘、游击都尉任萌等将兵击匈奴，至边止屯	于是王莽派遣并州牧宋弘和游击都尉任萌等人统率军队进击匈奴，到达边境驻扎下来
秋，七月，辛酉，霸城门灾	秋季，七月辛酉，霸城门发生火灾
戊子晦，日有食之	戊子晦出现日食
大赦天下	大赦天下
翟义党王孙庆捕得，莽使太医、尚方与巧屠共刳剥之，量度五臧，以竹筵导其脉，知所终始，云可以治病	翟义的党羽王孙庆被捉，王莽命太医、药剂师和高明的屠手一道解剖他，测量五脏，用竹签贯通他的经脉，弄清来龙去脉，说是可以用来治疗疾病
夏，六月，莽更授诸侯王茅土于明堂；亲设文石之平，陈菁茅四色之土，告于岱宗、泰社、后土、先祖、先妣以班授之	夏季六月间，王莽重新在明堂把象征封国的茅草与泥土授予诸侯王，亲自设置有文采的石制几案，陈列菁茅和四色泥土，祭告泰山、国家宗社、后土和先代的祖父祖母，然后进行封授
莽好空言，慕古法，多封爵人；性实吝啬，托以地理未定，故且先赋茅土，用慰喜封者	王莽喜好说空话，羡慕古代的制度，多给人赐封爵位，为人却实在吝啬小气，托辞土地规划没有确定，所以权且先授予象征封国的茅土，用来安慰喜欢封爵的人
春，正月，朔，北军南门灾	春季，正月初一，北军南营门失火
以大司马司允费兴为荆州牧；见，问到部方略，兴对曰：荆、扬之民，率依阻山泽，以渔采为业	王莽任命大司马司允费兴作荆州牧，接见并询问他到任后的施政方案，费兴回答说：荆州、扬州的百姓大都依靠山林湖沼，以捕捞、樵采为业
间者国张六管，税山泽，妨夺民之利，连年久旱，百姓饥穷，故为盗贼	前一段时间，国家推行六管制度，征收山林湖沼税，损害、剥夺了百姓的利益，加上连年久旱，百姓饥饿穷困，所以沦为盗贼
兴到部，欲令明晓告盗贼归田里，假贷犁牛、种食，阔其租赋，冀可以解释安集	我到任后，想要明令晓喻盗贼返回家园，贷放农具、耕牛、种子、粮食，减免他们的赋税，希望可以解散、安抚他们
莽怒，免兴官	王莽大怒，免掉了费兴的官职
天下吏以不得俸禄，并为奸利，郡尹、县宰家累千金	全国的官吏因为得不到俸禄，纷纷去牟取非法利益，郡尹、县宰家里积累上千斤黄金
莽乃考始建国二年胡虏猾夏以来诸军吏及缘边吏大夫以上为奸利增产致富者，收其家所有财产五分之四以助边急	王莽于是检查始建国二年匈奴扰乱中国以来，所有军官和边境官吏大夫以上牟取非法利益增加产业发了财的，没收他们家中所有财产的五分之四，用来资助边防急需
公府士驰传天下，考覆贪饕，开吏告其将、奴婢告其主，冀以禁奸，而奸愈甚	各公府官吏乘坐驿站快车跑遍全国，审查贪污案件，动员官吏告发他们的上级，奴婢告发他们的主人，希望用这样的办法来禁止奸邪，可是奸邪却越加厉害
莽孙功崇公宗坐自画容貌被服天子衣冠、刻三印，发觉，自杀	王莽的孙子功崇公王宗由于给自己画了一幅像，穿着天子的衣服，戴着天子的冠冕，刻了三枚印章，被发觉，王宗自杀
宗姊妨为卫将军王兴夫人，坐祝诅姑，杀婢以绝口，与兴皆自杀	王宗的姐姐王妨是卫将军王兴的夫人，被指控祈祷鬼神给她婆母降灾祸，为了灭口而杀死婢女，与王兴都自杀了
春，莽见盗贼多，乃令太史推三万六千岁历纪，六岁一改元，布	春季，王莽发现
初献《亲乐》于明堂、太庙	王莽第一次把《新乐》呈献于明堂、太庙
关东饥旱连年，刁子都等党众多，至六七万	函谷关以东连年饥馑、大旱，刁子都等党羽部众渐多，达六七万人
春，正月，乙未，赦天下；改元曰地皇，从三万六千岁历号也	春季，正月乙未，大赦天下，根据三万六千年日历，改年号为地皇
莽下书曰：方出军行师，敢有趋欢犯法者辄论斩，毋须时	王莽下文告说：正当出兵行军的时候，敢有奔跑吵闹触犯法律的，就判处杀头，不要等到行刑季节
于是春、夏斩人都市，百姓震惧，道路以目	于是春季、夏季都在都市里杀人，百姓震恐，路上相见只有以目示意，不敢交谈
是月，大雨六十余日	从本月开始，倾盆大雨下了六十余日
汝南邪恽明天文历数，以为汉必再受命，上书说莽曰：上天垂戒，欲悟陛下，令就臣位	汝南人郅恽深明天文星象与历法，认为汉王朝一定复兴，上书劝说王莽：上天所以发生异象，是在想使陛下觉悟，使你回到臣僚的位置上
取之以天，还之以天，可谓知命矣	取之于天，应该交还给天，才算是知道天命
莽大怒，系恽诏狱，逾冬，会赦得出	王莽大怒，逮捕郅恽，下入诏狱，过了冬天，逢到赦免，才从狱中出来
是月，新迁王安病死	本月，新迁王王安病故
初，莽为侯就国时，幸侍者增秩、怀能，生子兴、匡，皆留新都国，以其不明故也	当初，王莽为列侯去到封国的时候，宠爱侍女增秩、怀能，生下儿子王兴、王匡，都留在新都国，这是因为他们身份不明的缘故
及安死，莽乃以王车遣使者迎兴、匡，封兴为功公，匡为功建公	等到王安死了，王莽才派遣使者用王车把王兴、王匡接来，封王兴为功公，王匡为功建公
卜者王况谓魏成大尹李焉曰：汉家当复兴，李氏为辅	占卦先生王况对魏成大尹李焉说：汉会复兴，姓李的人将当辅佐大臣
因为焉作谶书，合十余万言	遂替李焉编写谶书共有十多万字
事发，莽皆杀之	事情败露，王莽把二人都杀了
莽遣太师羲仲景尚、更始将军护军王党将兵击青、徐贼，国师和仲曹放助郭兴击句町，皆不能克	王莽派遣太师羲仲景尚、更始将军护军王党，率领军队攻打青州和徐州的盗贼，国师和仲曹放帮助郭兴攻击句町，都不能够取胜
军师放纵，百姓重困	军队胡作非为，百姓更加困苦
莽又转天下谷帛诣西河、五原、朔方、渔阳，每一郡以百万数，欲以击匈奴	王莽又转运全国的粮食、丝帛前往西河郡、五原郡、朔方郡和渔阳郡，每一郡以百万计，想要用去攻打匈奴
须卜当病死，莽以庶女妻其子后安公奢，所以尊宠之甚厚，终欲为出兵立之者	这时须卜当因病去世，王莽把他的庶女嫁给须卜当的儿子后安公须卜奢，因为最终要用武力送他回匈奴即位，所以对他尊荣宠爱都很深厚
会莽败，云、奢亦死	当王莽败亡的时候，栾提云、须卜奢也在中原去世
秋，陨霜杀菽，关东大饥，蝗	秋季，严霜伤害豆类庄稼，函谷关以东发生大饥馑，蝗虫成灾
莽既轻私铸钱之法，犯者愈众，及伍人相坐，没入为官奴婢；其男子槛车，女子步，以铁琐琅当其颈，传诣钟官以十万数	王莽减轻私自铸钱的处罚后，犯法的就更多了，加上邻居连坐，都被收作官府的奴婢
到者易其夫妇	其中男子坐囚车，妇女步行，用铁锁链套住他们的脖子，前往铸钱的官府，以十万计
愁苦死者什六七	到达后拆散夫妻，另行改配，愁苦而死的十有六七
闰月，丙辰，大赦	闰八月，丙辰，大赦天下
郎阳成献符命，言继立民母；又曰：黄帝以百二十女致神仙	郎官阳成进献符命，说应当再立皇后，又说：黄帝靠着一百二十个女子成了神仙
莽于是遣中散大夫、谒者各四十五人，分行天下，博采乡里所高有淑女者上名	王莽于是派遣中散大夫和谒者各四十五人分别巡视全国，广泛选取被邻里所推崇的有淑女的人家，送上名册
莽恶汉高庙神灵，遣虎贲武士入高庙，四面提击，斧坏户牖，桃汤、赭鞭鞭洒屋壁，令轻车校尉居其中	王莽对汉高祖刘邦祭庙的神灵深为厌恶，派虎贲武士到刘邦祭庙，用武器四面掷击，用斧子砍坏门窗，用桃木汤浇洒墙壁，用土红色鞭子抽打墙壁，让轻车较尉住在里面
二月，樊崇等杀景尚	二月，樊崇等杀死了太师羲仲景尚
关东人相食	函谷关以东地区出现了人吃人的现象
夏，四月，遣太师王匡、更始将军廉丹东讨众贼	夏季，四月，王莽派遣太师王匡、更始将军廉丹东征讨伐众盗贼
初，樊崇等众既盛，乃相与为约：杀人者死，伤人者偿创	最初，樊崇等人的部众既然逐渐强盛，于是互相约定：杀人的抵命，伤人的养创
其中最尊号三老，次从事，次卒史	其中最尊贵的称号是三老，其次是从事，再其次是卒史
及闻太师、更始将讨之，恐其众与莽兵乱，乃皆朱其眉以相识别，由是号曰赤眉	等到听说太师与更始将军率军前来讨伐他们，恐怕部众跟王莽军队在混战时难于辨别，于是下令都用朱砂涂抹双眉，以便互相认识辨别，因此号称赤眉
匡、丹合将锐士十余万人，所过放纵	王匡、廉丹一起率领精兵十余万人，一路放任士兵，不加约束
东方为之语曰：守逢赤眉，不逢太师	东部地区为此出现民谣说：宁遇赤眉，不遇太师
太师尚可，更始杀我	太师尚可，更始杀我
卒如田况之言	确实象田况所说的一样
蝗从东方来，飞蔽天	蝗虫从东方飞来，铺天盖地
十一月，有星孛于张	十一月，有异星出现在张六星旁
莽赦天下，诏：王匡、哀章等讨青、徐盗贼，严尤、陈茂等讨前队丑虏，明告以生活、丹青之信；复迷惑不解散，将遣大司空、隆新公将百万之师绝之矣	王莽大赦天下，宣布诏命：王匡、哀章等讨伐青州、徐州地区的盗贼，严尤、陈茂等讨伐前队地区的盗贼，明白地向他们宣告来降者不杀、守约不变；如果仍然迷惑而不解散，即将派遣大司空、隆新公王邑带领百万大军剿灭他们
三月，王凤与太常偏将军刘秀等徇昆阳、定陵、郾，皆下之	三月，王凤和太常偏将军刘秀等率领汉军攻掠昆阳、定陵、郾等城，都予攻克
莽闻汉兵言莽鸩杀孝平皇帝，乃会公卿于王路堂，开所为平帝请命金之策，泣以示群臣	王莽听说汉军说他用鸩酒毒杀了汉平帝，便集合公卿到王路堂，打开收藏在金柜中的他替平帝请求解除疾病、愿以身代死的策书，流着泪出示给群臣看
王莽使太师王匡、国将哀章守洛阳	王莽命太师王匡、国将哀章守卫洛阳，更始皇帝派遣定国上公王匡进攻洛阳，西屏大将军申屠建、丞相司直李松进攻武关，三辅地区为之震动
更始遣定国上公王匡攻洛阳，西屏大将军申屠建、丞相司直李松攻武关，三辅震动	析县人邓晔和于匡在南乡起兵以响应汉军，进攻武关都尉朱萌，朱萌投降；进攻右队大夫宋纲，把宋纲杀掉；向西挺进，攻陷湖县
析人邓晔、于匡起兵南乡以应汉，攻武关都尉朱萌，萌降；进攻右队大夫宋纲，杀之；西拔湖	王莽更加忧虑，不知所措
莽愈忧，不知所出	崔发说：古时候国家有了大灾难，就用哭向上天告哀来战胜它
崔发言：古者国有大灾，则哭以厌之	应该祷告上天祈求救助
宜告天以求救	王莽于是率领群臣到南郊，陈述他承受符命的首尾经过，仰天大哭，声嘶气绝，伏地叩头
莽乃率群臣至南郊，陈其符命本末，仰天大哭，气尽，伏而叩头	众儒生和老百姓每天早晚会集起来哭，给他们准备了稀饭
诸生、小民旦夕会哭，为设餐粥；甚悲哀者，除以为郎，郎至五千余人	哭得非常悲哀的人，被任命作郎官，郎官达到五千多人
王莽庐江连率颍川李宪据郡自守，称淮南王	王莽朝中的庐江连率颍川人李宪占据本郡自守，自称淮南王
故梁王立之子永诣洛阳；更始封为梁王，都睢阳	前汉朝梁王刘立的儿子刘永到洛阳朝见刘玄，刘玄封刘永为梁王，首府设在睢阳
以大司徒赐为丞相，令先入关修宗庙、宫室	刘玄赐封大司徒刘赐当丞相，命令他先进入函谷关内，修建宗庙、宫室
春，正月，大司马秀以王郎新盛，乃北徇蓟	春季，正月，大司马刘秀因为王郎刚刚崛起，正处于兴盛状态，于是北向蓟州夺取土地
更始征隗嚣及其叔父崔、义等	刘玄征召隗嚣和他的叔父隗崔、隗义等人
